User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
Shadow,Pain,Diamond 3,Flex,NaN,NaN,NaN,NaN
Adam,1st,Diamond 1,Duelist,1.0023,5.0,17.6844,55.6
lucky,3663,Diamond 3,Initiator,1.2593,7.8,32.7428,59.4
SENTR4L,NA1,Silver 3,Duelist,0.7373,3.6,4.2105,6.8
KaneYe,1068,Gold 3,Duelist,1.0892,5.4,17.829,43.4
reyeru,8286,Silver 3,Duelist,1.121,1.6,31.7574,26.0
wesker,6548,,Duelist,0.6562,2.4,11.1429,1.4
Seedling,Tree,Diamond 3,Flex,0.7225,7.4,14.326,63.0
DesaultierMAK,2768,Immortal 1,Initiator,0.8438,4.0,15.9083,50.4
fizzy,zzz,Immortal 1,Duelist,0.9695,4.2,19.7024,28.2
Merc,8868,Immortal 1,Controller,1.6049,4.6,19.9079,30.8
Pajko,4387,Immortal 2,Duelist,0.9714,7.2,18.4746,43.4
Benique,0000,Platinum 2,Flex,0.708,5.2,10.4762,24.8
Price,1238,Immortal 1,Controller,1.2246,6.0,21.1416,66.4
John,TGB,Gold 2,Duelist,0.9803,3.8,16.9565,21.4
SychicA,CLT,Immortal 2,Duelist,1.1333,4.2,11.3709,28.0
icy,3939,,Duelist,1.1229,2.4,5.5556,3.2
Amuzh1,2242,Diamond 3,Duelist,1.0496,3.2,19.222,29.8
Kenpachi,Pooh,Diamond 2,Sentinel,1.8957,5.4,21.8249,39.4
Zirxi,uwu,Diamond 2,Flex,1.1833,6.2,5.8824,6.6
Humzeeny,TOR,Diamond 2,Controller,0.8752,3.6,15.8419,50.6
Beyond,Diff,Platinum 2,Flex,1.0255,5.6,7.3882,43.0
hayze,007,Platinum 3,Duelist,0.9138,3.6,23.5818,40.4
crudeness,6007,Gold 2,Initiator,0.9063,3.6,17.6333,32.0
Codemonkeys,AUS,Diamond 2,Flex,0.8954,3.6,16.2163,56.8
Junkie,0000,Gold 1,Flex,1.1857,5.8,8.1756,39.4
dons,dons,Diamond 3,Flex,1.1101,4.4,24.0845,44.8
Hills,0921,Diamond 2,Flex,1.0521,4.3333,24.6858,39.3333
costco,free,Gold 2,Flex,NaN,NaN,NaN,NaN
3Mpol,NA1,Platinum 3,Initiator,1.1941,5.6,18.8087,35.2
aang,1445,Diamond 2,Flex,0.674,8.6,12.0133,33.2
notminhh,insta,Immortal 3,Initiator,0.7475,8.6,18.9978,39.0
Loxe,3028,Diamond 2,Duelist,0.9403,4.0,28.7332,39.8
Oogway,BICH,Diamond 2,Flex,1.0186,4.4,22.6068,55.6
LuckyChineseArt,NA1,Diamond 3,Duelist,1.2845,2.2,15.5288,23.6
Cruce,f3f3,Immortal 1,Duelist,1.229,2.4,47.1793,33.8
Pixel,2948,Immortal 1,Controller,1.1019,6.2,21.8338,49.8
Condi,6959,Immortal 1,Flex,0.9229,5.2,12.2276,41.0
Law,JD24,Immortal 1,Controller,1.4537,3.6,21.6679,49.8
REDBULLCLUTCH,1129,Diamond 3,Initiator,1.2159,5.6,30.7913,44.4
CoolKid,athyd,Bronze 2,Duelist,1.519,1.6,29.3782,17.0
AliHamka,6359,Diamond 2,Controller,1.0442,5.4,28.3857,55.8
frisk,1337,Immortal 1,Flex,1.1503,6.4,7.6564,22.4
