Users,Tags,Rank,Rank Name,Ability Usage,Headshot %,Position,KD,Assists
TAW,9906,,NaN,,,Flex,,
Hasuko124,2910,4.0,Bronze 1,38.2,7.1505,Flex,0.8252,2.2
keben,poop,8.0,Silver 2,23.4,8.9183,Flex,1.3092,4.0
donn,9175,7.0,Silver 1,14.2,14.1297,Initiator,1.5004,5.4
zooka,2642,14.0,Platinum 2,0.0,0.0,Flex,0.634,3.4
LuxeX0,4201,,NaN,19.0,10.1695,Flex,0.4286,4.0
Blastwave1st,6499,,NaN,,,Flex,,
LAGGING,5976,3.0,Iron 3,35.0,11.8784,Duelist,0.6005,1.6
XueHuaPiaoPiao,4374,6.0,Bronze 3,19.6,11.6006,Duelist,1.0229,2.2
Peacocк,yoru,9.0,Silver 3,52.0,15.841,Duelist,1.3585,5.2
Myself,7921,,NaN,66.0,12.069,Flex,1.1333,6.0
Karma,4725,12.0,Gold 3,28.0,22.5302,Controller,1.4764,2.8
Tristan,9606,,NaN,33.2,11.8257,Flex,0.9147,7.6
ThePil,1095,10.0,Gold 1,32.4,15.0608,Duelist,2.6187,5.2
Dolo,0902,,NaN,39.6,21.6827,Initiator,1.1274,5.6
NarwhalKnight,9459,5.0,Bronze 2,16.6,13.1574,Duelist,1.055,2.4
Doctor Kirra,9999,,NaN,,,Flex,,
EXTC,Utube,8.0,Silver 2,,,Flex,,
Burhan,5781,8.0,Silver 2,25.0,10.0,Flex,0.8333,2.0
unlook,NA2,9.0,Silver 3,32.0,12.6984,Flex,0.7222,6.0
bycko,1415,9.0,Silver 3,24.0,12.7926,Initiator,1.0267,4.6
S0 Ba,10270,5.0,Bronze 2,3.0,0.0,Flex,0.0,2.0
kneethief,milfs,7.0,Silver 1,37.2,17.8275,Controller,1.1419,5.0
Candice,5523,9.0,Silver 3,,,Flex,,
TKDZeke,1853,5.0,Bronze 2,6.0,10.0,Flex,0.6,1.0
chihiro,0002,,NaN,,,Flex,,
AfraidCoconut,NA1,,NaN,14.2,8.8223,Flex,0.8348,1.8
Z00K33P3R,NA1,7.0,Silver 1,44.2,5.0133,Controller,1.0217,4.0
Kighzo,kigh,5.0,Bronze 2,16.6,7.5966,Duelist,1.539,1.4
FancyEyebrows,NA1,8.0,Silver 2,40.2,13.3702,Controller,1.4619,5.2
VE paniK,3308,22.0,Radiant,12.0,5.3846,Flex,1.1595,6.8
Aryan,Ghost,6.0,Bronze 3,19.4,11.8924,Duelist,2.1408,3.4
bigmonk,4016,11.0,Gold 2,44.0,14.8649,Initiator,0.7501,3.6
VPineapple,VaSt,12.0,Gold 3,8.4,21.8841,Duelist,1.141,3.0
armed bystander,rudy,7.0,Silver 1,21.4,4.7539,Flex,0.8674,4.2
Quaff,9959,,NaN,21.5,22.1438,Flex,1.3745,4.5
SirNurgimus,Urge,11.0,Gold 2,0.0,0.0,Flex,1.1607,5.5
misohoneyy,5541,11.0,Gold 2,51.6,8.6501,Duelist,0.895,6.6
boostmepls,0001,6.0,Bronze 3,22.6,26.8754,Duelist,1.1262,3.4
Laggy,1041,7.0,Silver 1,12.0,7.1429,Flex,0.5263,8.0
brano,bran,9.0,Silver 3,39.4,20.1333,Sentinel,1.2783,4.2
naberoni,NA1,7.0,Silver 1,,,Flex,,
GrosseGougoune,7603,3.0,Iron 3,,,Flex,,
usedtampon,5476,7.0,Silver 1,29.0,32.6531,Flex,1.5833,6.0
Plover,PlVR,,NaN,32.0,11.7647,Flex,1.1538,11.0
naruto guy,9999,3.0,Iron 3,27.0,16.1186,Duelist,0.591,2.0
grime2k,4816,,NaN,5.0,0.0,Flex,0.6667,5.0
FaKeTsm,NA1,6.0,Bronze 3,28.6,18.8439,Flex,0.8945,2.6
Adam,Blaze,6.0,Bronze 3,28.6,9.9426,Flex,0.8833,6.4
Sho,UwU,,NaN,32.6,26.011,Initiator,1.3882,5.6
HawaiianBeast,5005,8.0,Silver 2,36.8,6.9411,Controller,2.0092,3.8
Zar,1111,7.0,Silver 1,24.0,8.6957,Flex,1.1538,4.0
Zeevo,BIGDZ,14.0,Platinum 2,15.2,8.9909,Flex,0.9043,3.2
veer,420,12.0,Gold 3,34.5,7.7466,Flex,1.1652,5.5
louvremma,3502,4.0,Bronze 1,7.0,43.5307,Duelist,1.5408,2.0
Onepounddouble,NA1,8.0,Silver 2,20.6,18.5039,Initiator,1.3792,2.6
Gagadou,5960,9.0,Silver 3,9.6,21.3985,Duelist,1.7667,2.6
Selene,8872,7.0,Silver 1,,,Flex,,
NotTeqxs,0606,7.0,Silver 1,0.0,0.0,Flex,1.6111,9.0
Vendetta,blood,9.0,Silver 3,,,Flex,,
i get no play,Ryno,,NaN,31.0,15.0374,Flex,1.3993,2.2
JohnnyRebel,Based,,NaN,,,Flex,,
carson6578,7293,,NaN,0.3333,6.6667,Flex,1.2593,2.6667
Lacerus0402,3912,,NaN,27.4,18.2994,Initiator,0.8719,4.0
Flames,ZJG8,,NaN,11.4,6.4762,Controller,1.0612,4.2
PeashooterBunny,6166,12.0,Gold 3,30.4,27.5593,Sentinel,1.2457,3.8
Link,GODLY,17.0,Diamond 2,0.0,0.0,Flex,0.95,3.0
Ag3nt Z3r0,1664,5.0,Bronze 2,26.6,9.0436,Duelist,1.0798,5.2
logicalloner,5131,4.0,Bronze 1,29.0,12.6521,Controller,0.9238,3.6
ilovecake,1738,,NaN,0.0,0.0,Flex,0.4444,0.0
wendysushi,7659,5.0,Bronze 2,25.8,10.8241,Duelist,0.6238,4.2
IV Mattias,4708,18.0,Diamond 3,44.4,9.2253,Flex,0.8622,5.8
Pimpin Shrimp,PEKKA,9.0,Silver 3,34.6,19.4093,Flex,0.866,7.8
alyssa,0923,,NaN,,,Flex,,
Mapleton,0610,8.0,Silver 2,0.0,0.0,Flex,1.8,9.0
AtlasTTT,4160,,NaN,0.0,0.0,Flex,1.1667,3.0
U A Jerry,6793,8.0,Silver 2,25.0,21.0571,Duelist,1.0114,3.4
emi,rawr,7.0,Silver 1,2.5,3.3333,Flex,0.5714,1.0
cheel33,NA1,,NaN,,,Flex,,
TheTrueMonad,8301,,NaN,19.0,2.2222,Flex,0.25,9.0
happymeal1308,NA1,,NaN,28.4,4.0046,Duelist,0.5559,7.0
Muffin,333,10.0,Gold 1,11.2,11.1473,Flex,2.8458,2.6
RaDiCaL,0001,7.0,Silver 1,,,Flex,,
ramen,1708,6.0,Bronze 3,28.0,4.5455,Flex,0.9375,5.0
TheTexasHammer,6996,7.0,Silver 1,44.0,9.5695,Flex,1.7288,5.2
Chronic,1234,,NaN,24.0,8.3333,Flex,0.7143,3.0
LUCKI,fog,7.0,Silver 1,31.6,21.0509,Duelist,1.5504,1.8
RStivers6,4832,7.0,Silver 1,44.0,16.3636,Flex,1.1538,1.0
Bradhesive,4072,,NaN,21.0,6.2456,Duelist,1.4222,0.6
Zenq,loll,10.0,Gold 1,22.0,23.8095,Flex,2.0,2.0
At0m1x09,7076,,NaN,0.0,0.0,Flex,0.5941,7.2
the phantom,7047,4.0,Bronze 1,,,Flex,,
AsianSpartan98,Asian,16.0,Diamond 1,41.6,14.4473,Flex,1.3292,2.8
Onyx7125,3405,3.0,Iron 3,14.4,15.3484,Sentinel,0.65,4.0
Im Sorry,6757,10.0,Gold 1,32.6,11.9979,Flex,0.9736,3.6
Capn,9645,15.0,Platinum 3,,,Flex,,
Saf,3569,9.0,Silver 3,25.5,8.6686,Flex,1.228,3.5
Rosolent,Gay,14.0,Platinum 2,,,Flex,,
LKL VapeTrics,8540,,NaN,51.0,10.7143,Flex,5.5,2.0
Questorthews,666,3.0,Iron 3,7.2,0.0,Initiator,0.0,1.0
Baaanaaanaaa,9386,6.0,Bronze 3,0.0,0.0,Flex,0.8235,3.0
DarkAsNight20,NA1,10.0,Gold 1,36.6,16.068,Flex,1.4491,5.2
lemongod,5630,3.0,Iron 3,13.0,3.9386,Flex,0.6314,3.2
Tootral,3372,3.0,Iron 3,,,Flex,,
Amanda,Panda,9.0,Silver 3,24.0,4.0762,Flex,0.9607,4.8
UncloudedDay,4444,,NaN,12.6,6.1673,Duelist,1.7778,2.4
GamersDieAlone,2794,4.0,Bronze 1,33.0,10.4842,Duelist,1.4196,3.6
Jakedabomb,8885,19.0,Immortal 1,26.0,25.9942,Duelist,1.7754,4.3333
Jtyios,NA1,5.0,Bronze 2,36.4,14.5265,Duelist,0.5022,2.2
Phineas,9613,8.0,Silver 2,26.5,7.5,Flex,0.348,2.5
TTV GTR247,247,15.0,Platinum 3,,,Flex,,
BallerI8,4437,7.0,Silver 1,38.6,9.9782,Controller,1.4898,4.8
Burrito909,4601,,NaN,,,Flex,,
ウィッシュドウィザード,0047,,NaN,26.6,16.6337,Sentinel,0.7419,2.2
Doge,9055,7.0,Silver 1,15.2,3.6983,Duelist,0.7962,2.2
Hulk400044,1151,,NaN,33.0,8.8052,Duelist,0.9847,4.8
Tatinoo,8553,,NaN,28.0,8.7881,Sentinel,0.9375,3.4
femboy,6365,7.0,Silver 1,,,Flex,,
Benji,4444,8.0,Silver 2,35.0,18.0556,Flex,1.5,5.0
ImNearlyPure,Pure,,NaN,,,Flex,,
NYC,9922,,NaN,0.0,0.0,Flex,1.3197,2.4
TwoStep,5266,8.0,Silver 2,,,Flex,,
FlubsChild,42069,9.0,Silver 3,50.0,16.597,Flex,4.7694,1.4
Skeuu,3848,6.0,Bronze 3,40.0,11.1111,Flex,0.8235,4.0
HoesMad1503,1245,8.0,Silver 2,38.6,8.4455,Flex,0.7569,4.0
NXT Jasleen,Demon,15.0,Platinum 3,,,Flex,,
Vega63M,9640,,NaN,0.0,0.0,Flex,0.4211,6.0
Zombijcraft,0000,7.0,Silver 1,9.0,6.2534,Flex,1.6401,6.4
SycoWhatever,NA1,7.0,Silver 1,20.8,9.1379,Initiator,0.5652,6.2
BstM0DE,9691,,NaN,36.0,15.2542,Flex,1.2308,2.0
Gourd Grod,NA1,9.0,Silver 3,,,Flex,,
blues12,4531,15.0,Platinum 3,,,Flex,,
Stormblessed,8164,,NaN,29.6667,19.8274,Duelist,1.6643,2.3333
PrivilegeLog,9280,10.0,Gold 1,,,Flex,,
LilCottonSwab,1731,8.0,Silver 2,39.6,22.6521,Sentinel,1.0934,3.4
OVO,sound,4.0,Bronze 1,25.2,15.4924,Flex,0.294,3.2
Stopfarmingme,7150,16.0,Diamond 1,20.4,16.0687,Flex,1.0493,3.8
ripXD,9534,5.0,Bronze 2,8.2,21.7793,Duelist,2.0928,1.6
enginerdx,9618,5.0,Bronze 2,,,Flex,,
merZ,69420,4.0,Bronze 1,28.2,7.4792,Initiator,1.0494,3.8
Trashcan,2885,10.0,Gold 1,19.0,11.1111,Flex,0.7857,10.0
aVV,4631,9.0,Silver 3,44.0,23.2074,Initiator,1.5441,8.0
MonkeeArc,2676,,NaN,15.3333,9.537,Sentinel,0.7018,2.3333
batfox26,6933,5.0,Bronze 2,45.4,13.4161,Flex,0.6058,4.2
noobula25,5408,15.0,Platinum 3,0.0,0.0,Flex,1.2105,10.0
sinkyy,8495,,NaN,,,Flex,,
tRhen,NA1,9.0,Silver 3,22.6,17.0221,Initiator,0.7461,3.4
jjalva01,5582,10.0,Gold 1,,,Flex,,
Hydrone,Jason,16.0,Diamond 1,24.2,18.9503,Initiator,2.08,2.0
Blaise,8001,13.0,Platinum 1,47.2,20.0933,Flex,1.1643,2.6
WalmartChamber,8162,6.0,Bronze 3,21.2,4.6841,Initiator,1.005,4.2
KilluaZoldyck,6852,8.0,Silver 2,44.4,13.9699,Initiator,0.983,6.6
bbangiya2,NA1,5.0,Bronze 2,18.0,11.4286,Flex,0.4,1.0
TupapiL,1752,12.0,Gold 3,49.0,15.3846,Flex,2.0,3.0
DanDePan,DDP,12.0,Gold 3,30.2,15.0569,Controller,1.2436,5.4
Fifi,7845,6.0,Bronze 3,,,Flex,,
