User,Tag,Rank
TheNileRivah,1231,Silver 1
Qw33fLord,Qw33f,Silver 1
joemama,3472,Gold 2
aiden,1tap,Platinum 2
driftjuice,3600,Silver 1
zan,gsuki,Platinum 1
MrBeast,0314,Silver 2
mino,1925,Platinum 3
manic,1117,Bronze 2
ragz,5308,Silver 1
aeschar,1996,Silver 2
Roger,NA1,Gold 2
DiamondShard,3813,Gold 2
dani,4705,Diamond 1
LordXipher,9096,Gold 1
DPR IAN,krnb,Bronze 3
superiorwaffled,8744,Iron 3
GeneralGamer,Gamer,Iron 3
eleets,Yurr,Gold 1
Kaiser,magic,Bronze 1
TheLegendYT,4574,Bronze 1
Dyllan,NA1,Platinum 1
Xp0Prefire,8473,Bronze 2
cosmic flame,9059,Bronze 1
SammySohighPR,2289,Gold 3
Totokillerr13,4745,Iron 3
FallenMoral,9512,Silver 3
Smeve,Smeve,Bronze 1
LightIsBad,3848,Gold 2
Jah,6789,Gold 3
apple sauce,sauce,Ascendant 2
Fey,uwu,Silver 2
Mommy兑,Mommy,Bronze 1
Drunkdude,PBJ,Bronze 2
JoninLevel,3287,Bronze 2
Agilecreeper,NA1,Iron 2
kiyo,111,Iron 2
ChamBussy,buseé,Platinum 2
Sir Jeff,6345,Gold 2
Sunday,A1S,Immortal 1
Melxdia,5054,Iron 2
Soapy,621,Bronze 3
Jmanicans,W33D,Platinum 1
nugget,sage,Gold 3
CheekClapper,feast,Silver 2
ExtraTooLarge,1652,Silver 2
Zenzy,7050,Silver 3
Monk,2966,Silver 2
SidOn,9713,Iron 3
Feral Raccoon,1152,Silver 1
UwUWaffle,6971,Bronze 1
MrMikeHawk,1601,Silver 1
bebonek,2807,Bronze 2
Wavey,Ghoul,Platinum 2
Doudthekiller,1322,Silver 1
VôDuyên,NA1,Bronze 2
kvro 力,nmt,Ascendant 2
Daextars,NA1,Silver 2
Bongcloud,666,Silver 1
ExileReborn,5088,Iron 2
Bobiotimson,NA1,Gold 2
itdontmatter420,NA1,Bronze 2
Buckaroo2,NA1,Silver 3
ClutchKing,2147,Gold 3
Merciana,9482,Silver 1
VulixXV,XIV,Bronze 2
peemster,0000,Platinum 1
mrzaddyyyang,1450,Iron 3
Nuum,6837,Silver 2
Sasori,3091,Silver 2
femto,0430,Gold 3
ElementalDiviner,NA1,Iron 1
diddlydumby,4772,Bronze 1
Glizzy,4117,Gold 2
chomama,awawa,Gold 3
JobinHigashikata,Speed,Silver 3
Gravity,1067,Diamond 1
Hash,9116,Diamond 1
Jyair,836,Ascendant 2
Flyingtaco360,5373,Gold 3
youcaretoomuch,cryin,Bronze 3
honoraryrip,RIP,Bronze 1
Raskovnik,COBA,Bronze 3
muhahaha1000,NA1,Silver 3
Giyuu,lll,Platinum 3
biggerth,PQNG,Iron 3
ilikechubbyfishy,6969,Ascendant 3
fudgedgirlfriend,9940,Iron 3
mikehawk,6237,Bronze 2
MrBank,8147,Gold 3
Axelturtle,6533,Iron 2
YORuler,6917,Silver 3
Meeks,8454,Silver 2
IanBTW,5753,Bronze 1
VibenBrowny,3238,Silver 1
Erica,6667,Platinum 2
Apollo,Wolf1,Gold 3
twitch xvlxrd,Loser,Bronze 1
FleXer15,4422,Silver 1
ASAP WAVYY,PAP1,Diamond 2
cloverLIG,3280,Iron 3
ChunghaButt,8173,Bronze 2
Xotin,6833,Silver 1
Taegyu,NA1,Silver 1
ImDeadlyGod,9008,Silver 1
DaytonaGG,7403,Gold 2
advencherv,5700,Bronze 2
Mclovin,2425,Silver 3
awundo,9220,Bronze 3
Karthatic,NA1,Silver 1
DesignFlaw8,NA1,Bronze 1
reeks,tard,Ascendant 2
XxHyprBoyxX,NA1,Silver 1
TheTrueChampion,Champ,Bronze 2
Peanut Butter,0521,Silver 3
FrostedFlakesGG,NA1,Diamond 1
Bashfulj540,NA1,Silver 3
Turtle,4979,Silver 1
Mugabe,4958,Silver 1
poopyboy69,poopy,Gold 3
EmoGirl,E621,Platinum 1
Shaƒt,NA1,Silver 2
Flowtoe,NA1,Bronze 3
Yuso,2242,Diamond 1
Twerktle,NA1,Silver 1
tree,tttt,Platinum 2
stgamer5665,5108,Iron 1
LiLMo,LiLMo,Iron 3
chonkletzone,3387,Platinum 2
IHasTeeth,NA1,Bronze 2
Geico Lizard,6648,Iron 3
lilbeta,beta,Gold 3
CantWinOne,1359,Bronze 2
michael,LGBTQ,Platinum 3
Kise,KUPO,Gold 3
Mamba,6969,Ascendant 2
MrStink,1234,Silver 3
Stek08,7897,Diamond 1
mr prince,ggez,Gold 1
MineBros17,2596,Diamond 3
honeymilk,2972,Bronze 1
TheOnionKnightt,NA1,Silver 1
Zakuza,69420,Silver 3
ArcticBeef,NA1,Platinum 2
jowa,lulu,Immortal 3
SnPJd,5416,Gold 3
PoppySloppy1,9815,Diamond 1
videogamer,9056,Platinum 3
Ontario,9538,Bronze 3
Zaro,Zack,Gold 3
JK ,Josh,Platinum 1
BigbootyDan,2118,Platinum 1
HammmY,1422,Gold 1
peach,daddy,Silver 2
kennyR,sike,Silver 2
Koii,Cupid,Platinum 3
drip,187,Platinum 1
ryujin,1o1,Ascendant 1
apollo,6923,Silver 2
LFT weezy,weez,Ascendant 1
HaleHound001,3895,Diamond 1
Swag,6883,Bronze 2
sleep,7382,Ascendant 2
Travis,998,Gold 1
PREDATOR,3109,Bronze 2
goob,8179,Silver 2
THICCBOI332,8892,Bronze 2
Colelito,3211,Diamond 3
futil1ty,fut1l,Silver 3
irome1123,3931,Silver 1
ψMurkψ,6921,Gold 1
Kalkoro,NA1,Bronze 1
CON KanyeWest,cream,Silver 1
DrSicknessDsC,6099,Bronze 3
freedaguap,ebk,Platinum 2
whoknows,9323,Silver 1
LeonnieCLY,NA1,Bronze 2
Tyye,666,Diamond 1
Dani Rojas,3434,Gold 2
AFortniteGamer,9275,Platinum 2
du5ty,sus,Immortal 2
future lover,404,Platinum 3
chickendinner,424,Ascendant 1
SteamedHams,9122,Diamond 1
Rodney,NA2,Diamond 3
Ghost,7447,Platinum 2
Sea Bear,4440,Ascendant 2
Alucard,eboy,Gold 2
foey,1000,Ascendant 1
LethalFire,1303,Silver 3
zDubzei,3023,Ascendant 2
OmegaNexoos,huh,Ascendant 1
namjoon,007,Silver 1
Tony1Savage,9481,Platinum 2
RevXebes,6620,Silver 2
HxmzaK,NA1,Ascendant 1
spicydurian,toxic,Silver 1
AngleZ90,7987,Gold 3
DUSTY NUTZ,0001,Diamond 1
Uzui,1235,Gold 2
furrypeeman163,iwnl,Platinum 3
prada,real1,Ascendant 3
Testi Inspecter,3418,Gold 2
QweenSharky,Love,Silver 1
twitch evactss,3546,Gold 1
Mr lee,38585,Diamond 3
Chlorpyrifos,9372,Silver 1
Jeen Yuhs,2280,Platinum 2
JoeShmoeJaneDoe,NA1,Iron 3
Goomba,0213,Gold 3
VBoss97,NA1,Platinum 1
Stuttershy,NA1,Gold 1
TapaKeg,9305,Gold 2
triage シ,LFT,Immortal 1
EGO CHALLENGE,2162,Immortal 1
BIG E,2861,Platinum 3
SuperGremlin,7940,Platinum 1
HaWk,1211,Gold 1
Lonbo,5183,Gold 3
Turtle,6565,Gold 2
amanlikejoseph,asdf,Platinum 2
bl1tz,6969,Diamond 1
Pasacota,NA1,Immortal 2
Mynx,bean,Diamond 1
obi toppin,1732,Bronze 2
Lucky,5five,Diamond 3
BIRD,7372,Platinum 1
Pirate CrewLuffy,NA1,Diamond 3
Bjorn,1261,Gold 3
fatbustedapples,1337,Platinum 1
Skimms,1234,Gold 3
THOOMER,OKT,Immortal 3
step kuya aj,weeb,Silver 2
PHATPHOBIC POTAT,kam,Gold 3
trost,1111,Silver 2
Karisma,5548,Platinum 1
CasuaL,CSL,Immortal 2
DFWTheRealist,NA1,Diamond 1
Triple,8614,Gold 2
ObeseGuava,NA1,Platinum 3
EveWasTooShort,ILY,Platinum 2
Big Pharma,NA1,Ascendant 1
GunnarDundee,2270,Bronze 1
Google Moneyfn,001,Ascendant 3
BERTO,6981,Ascendant 3
GRIZZ,1799,Gold 3
Tokyo,NAE,Gold 1
HammerAndSickle,NA1,Platinum 3
tde,1234,Diamond 1
ClutchCalibur,6886,Bronze 3
Crazybug,2076,Iron 3
MedalHydro,69420,Iron 3
Nutty Dom,1235,Iron 3
Celeste,8194,Iron 3
DYSKuang,NA1,Bronze 2
Baljeet,9289,Bronze 3
justinthyme89,4825,Silver 2
lunarIXs,8218,Iron 3
Bunny,1375,Diamond 3
Winterman61,NA1,Bronze 1
tinydude,7521,Iron 3
SynrgSky,6666,Diamond 1
Saturn,Frbe,Gold 1
Jinx,Rblx,Platinum 3
FrankTheTank2013,9036,Iron 2
ToucanSam,9657,Diamond 1
TheWiseOne,6093,Bronze 3
BlindThief,1435,Diamond 1
Jaron516,NA1,Silver 1
Jared,2430,Gold 3
habibi,4138,Silver 2
Sol,vybe,Diamond 1
NurseJo,4752,Bronze 2
Erupt,420,Silver 3
keegsonbeeg,9557,Silver 2
yortieboy,7831,Silver 2
theawsomeOPcop,7861,Bronze 1
vamp,3039,Silver 2
Holic,6653,Silver 1
GrudgeAwall,NA1,Iron 3
whiskey,2199,Diamond 2
Bardes,5899,Silver 2
rome,csh,Silver 1
AoiKui,NA1,Gold 1
Hope,6306,Silver 2
MackerFlapz,NA1,Bronze 2
BumboBlot,3060,Diamond 1
Pluto,JU29,Platinum 2
MincrafterMan,8544,Bronze 1
BarterRabbit,2332,Bronze 2
SIG S0ur,NA1,Platinum 3
Thicc Arab,4637,Bronze 2
blueberry,9331,Diamond 1
reaps,4318,Silver 2
RunNGun,3375,Bronze 3
jennah,uwu,Silver 1
MikGib,6969,Bronze 3
nalgonjojo,jojo1,Iron 3
senku,1777,Platinum 1
Hacker,1420,Bronze 3
idiotjerald,3881,Bronze 2
Betts,7696,Bronze 3
Redcaldera,UwU,Silver 1
EMRLDS,POOT,Gold 3
light yagami,bot69,Diamond 1
Estarossa,the1,Gold 1
Pure,4266,Gold 1
Vampirrccc,NA1,Iron 2
diego,bmybf,Gold 1
sadrhino72,768,Platinum 2
ShowiestComb857,4692,Silver 3
ShidInUnderwear,MARK,Silver 3
Lost,6991,Bronze 2
hot abg,ethn,Diamond 1
Nathlec,pog,Platinum 2
Aus10,BIRD,Gold 1
Gueki,5609,Silver 1
BabyDan,2557,Diamond 1
Jaiz,00001,Silver 1
Dynastyy,1060,Platinum 3
sp1derpigo,2687,Bronze 2
nicowo,bark,Iron 1
TinnXV,GOAT,Gold 1
Fermicous,1585,Gold 2
ballon,lol,Bronze 1
TwistedSlatt,1872,Silver 2
MuffinZ,Time,Iron 2
Ladiesman393,1001,Gold 2
Cheems Gaming,6836,Iron 2
CluelessSzn,1839,Gold 1
Galleboii,9011,Iron 2
RaC0d,8730,Iron 1
HnHToxic,999,Bronze 1
MrBacon,7895,Gold 1
BrickXVI,na1,Silver 1
JustSoHyper,NA1,Gold 3
Shaxely,SUGAR,Bronze 3
BasedJabroni,9166,Silver 1
Daminoes,Pizza,Silver 1
Mago,2393,Silver 1
addi,101,Platinum 2
Gnocchi,6024,Gold 3
corinnas kitty,7049,Gold 1
dogge,woofe,Gold 2
OntheOtherSide,3781,Silver 1
tswinston,sans,Bronze 1
BlkAlchemist,Alchy,Gold 2
SYNS Perks,3864,Immortal 1
xxxosteoperosis,3352,Silver 3
ICONJR187,7392,Bronze 2
Curxex,1619,Platinum 2
TwoShea,NA1,Bronze 2
clownboyTHC,7844,Bronze 2
seagrade,NAW,Platinum 1
Frenu,RNG,Diamond 2
slicespike,mald,Silver 2
ziah,kith,Bronze 3
PTCruiser,9121,Diamond 3
Bootylicious,3784,Platinum 1
ellie,zexri,Gold 1
sleepytea,2222,Bronze 3
RRR,Hit,Gold 3
unfalln,6969,Diamond 1
LunaticFrindge3,8688,Iron 2
JohnArrie,9039,Bronze 3
TheBigPotato,69420,Silver 1
NOT NORMAL,80085,Bronze 3
Lero,7192,Silver 1
JOANSTER,2585,Gold 1
SeanPass,9039,Diamond 2
LuisStanley,2517,Gold 3
2k1ln1klfsa,zzz,Diamond 3
BluesCluesYAY,3149,Bronze 3
Ryan,3694,Ascendant 1
ColeDaMole22,8315,Iron 3
Frostbite,brrr,Diamond 3
Rico,6846,Silver 1
Mitch,lia,Platinum 2
Marin,Best,Diamond 1
boiwhatthehelboi,3317,Diamond 1
xXBlackDragonXx,BLACK,Diamond 2
XXI Renegade,1070,Platinum 3
Trip,5172,Bronze 3
Magnificent TF,NA1,Iron 3
XioshXI,6946,Platinum 1
sync,4115,Platinum 1
Badnights,HELP,Bronze 2
LeDerp28,1172,Iron 2
zNismo,NA1,Gold 1
genjutsu,fake,Diamond 2
RiteggyEternal,0021,Platinum 3
limbo,1127,Gold 2
Chansen005,NA1,Diamond 2
Big S,4221,Silver 3
Glocon,9300,Silver 1
Jessanthia,Spud,Bronze 2
Kusganon,3348,Bronze 3
AsianDaven,1586,Platinum 2
Midnight333,2909,Silver 2
CeruleanCheeseCk,NA1,Bronze 2
kaiyayuh,gysk,Iron 1
cheeseblock,5780,Iron 3
ZackUnderground,1004,Bronze 3
vitaminDpills,sus,Bronze 2
Aiden,4412,Silver 1
BLOBEWAB2,5048,Bronze 3
Stroiley,8461,Platinum 2
Syphon,2925,Gold 2
Tom Bombadil,1337,Gold 3
equinox,kirbz,Iron 3
GnomeLicker,666,Iron 3
Sammo,9100,Gold 2
POV hidden,bettr,Silver 1
brandy,panda,Platinum 3
Krackoala,5192,Silver 3
Silky,999,Platinum 3
Rayzahs,TTV,Ascendant 3
HammyBammyJammy,Boobs,Diamond 1
PainHub,simp,Silver 3
PNSJEDI,NA1,Bronze 1
CATBOY FELON,n190,Diamond 2
Bruno,3221,Platinum 1
Blank Banshee,NA1,Bronze 3
zero toxicity,8542,Bronze 2
monie,143,Iron 3
BigGamingGamer,3602,Silver 3
Mort,6249,Gold 1
bestjet,420,Silver 3
Tylenol,PILL,Diamond 2
Onepounddouble,NA1,Bronze 2
Shumai,Bloop,Silver 1
kawa11g0th,3558,Bronze 2
dumpling,1010,Iron 3
yumisu,icide,Platinum 1
Koolaidjammer99,4816,Bronze 1
joshua,1565,Silver 3
Jpwr,00420,Platinum 3
Larky,NA1,Bronze 3
imbrocken,hurt,Silver 3
redspicyoof,8260,Iron 3
zurxer,VAL,Silver 1
OiO Aarip,0000,Bronze 3
Suikastçı,NA01,Gold 1
SmellyPits,JACK,Gold 3
MMVIII5634,4980,Bronze 3
Salboomin,8816,Iron 2
CANYAWN,6654,Iron 3
iris,8483,Silver 1
Gray,rain,Bronze 3
mrbloo5872,RBLX,Silver 1
daniellson,6969,Bronze 3
Grabe,9700,Silver 3
lhomicidle,3660,Silver 1
SwimmyGames,7703,Iron 3
Pyre,8140,Silver 3
giggleskeeper,9529,Bronze 1
Rex,2443,Platinum 2
jmjooar,8028,Bronze 2
Calceobleu,0002,Gold 1
okko,4660,Bronze 2
PimbaAlex04,9103,Bronze 2
D0C0RCUS,NA1,Iron 3
Ben Tenz,0319,Platinum 3
mebrock,NA1,Gold 3
firebalzer,NA1,Iron 2
brdalert,NA1,Bronze 2
Playz,9219,Platinum 1
Zuhdi,7893,Bronze 1
Beardninja,NA1,Silver 2
kittenbytes,8716,Silver 1
kreestmus,1513,Bronze 3
Baker Mellfield,6969,Silver 2
CasualLite4,1940,Iron 1
Doodlebob,1121,Bronze 3
Arsenal,7983,Iron 1
Rose,11115,Silver 1
ItsSwanson,4154,Bronze 3
heycraby,3352,Iron 3
dahyun,1017,Gold 2
TheyCallMeLord,2476,Platinum 1
Swiff,6036,Diamond 3
SwissyCheese,4020,Silver 2
ZBeast,8110,Silver 3
光 Arest,2306,Bronze 2
Paulabunga,NA1,Iron 2
Nakano Ni,IZONE,Silver 3
A6Monkey,Alpha,Gold 3
Zoro,KZG0,Gold 1
dabes,2FAST,Ascendant 1
Jequavius,NA1,Ascendant 1
enigma,00999,Bronze 3
syexsoku,LAN,Bronze 1
c0deace,ace,Iron 3
gardoz,6424,Silver 2
Bodîed,9239,Silver 1
cucumber,7796,Iron 2
Woadie,6969,Bronze 3
SpaaaceTimeee,NA1,Silver 1
Bibo,420,Diamond 3
PreMalone0,NA1,Silver 2
monkeymike,NA1,Gold 1
newt,pog,Platinum 3
CinderTheSimp,NA1,Bronze 1
Oscar,5774,Gold 3
rayburn,merph,Silver 1
MrWhoMann,NA1,Bronze 3
Space,2927,Iron 1
Breal22,9799,Gold 2
Pinguwu,3022,Iron 3
8008s,80085,Iron 3
Asphodelix,6235,Iron 3
getDINKEDskid,ate,Silver 2
Chrono1369,NA1,Iron 1
Chips75,3084,Iron 3
StepBear,1870,Bronze 2
coil,boobs,Iron 2
LamHub,NA1,Diamond 1
SimPxDev,4200,Gold 1
Triforce,003,Silver 1
CheeseMonkey73,Chez,Bronze 2
GregInterrupted,81012,Silver 3
Z3PHYR,4832,Iron 2
RealSlimJerry,6971,Silver 1
asianboy519,NA1,Platinum 1
RagnarokSkeleton,NA1,Silver 1
Legíon,NA1,Silver 1
PredaGG,FURIA,Gold 3
wits28,benis,Iron 3
Nikkimane,huh,Platinum 2
luis san131,6456,Bronze 2
tazedart,NA1,Iron 3
WollzonTwitch,1595,Silver 2
ROOKIE,1985,Gold 1
snakqe,post,Diamond 3
Prestono,IMGAY,Gold 3
SwagForgives,0001,Diamond 1
Cancel,7307,Gold 2
ZAKing29,8667,Gold 1
senukey,NA1,Platinum 1
Soul,5636,Silver 1
lilmickel,3411,Iron 3
Stevie,frs,Diamond 1
kanye east,8235,Iron 1
Hermes,7169,Bronze 3
Auditory Potatos,NA1,Bronze 3
simpkoi,simp,Bronze 1
azrael257,0000,Silver 2
Souta,MK6,Diamond 3
Bigdexsr,4970,Bronze 2
ZoVa Trikky,NA1,Ascendant 1
JoseTheNoobKit,NA1,Platinum 2
nate,7567,Platinum 3
LAUKNLOAD,KTTA,Diamond 1
dankchild,1960,Silver 3
CrackHead Abby,099,Silver 1
teecee,0000,Gold 1
Plantboich,9132,Gold 2
HatzRCool,NA1,Iron 2
saladPie,TIALB,Platinum 2
Curly,curL,Diamond 1
Luke,DwnBd,Diamond 1
JayLunatic,NA1,Gold 3
crym,9574,Bronze 2
Redfig,7932,Gold 1
Articuno,1430,Platinum 3
ski,5167,Gold 3
Velvet2Steel,4452,Gold 1
burek,4272,Bronze 3
soku,S1101,Iron 1
ThatBottyBoy,Bot,Bronze 3
Rabid,0001,Platinum 1
cyper,5415,Gold 1
champagne,2003,Gold 1
Haku,Nice,Diamond 1
Naan,6677,Silver 3
Delivery Expert,NA1,Bronze 3
kiccbutt,1496,Silver 1
EasyBakeOven101,NA1,Silver 2
Kurisu chan,PLEB,Iron 2
Kryos,Kryos,Silver 2
m4mb4,1911,Gold 2
WhiteGuy1953,NA1,Silver 2
HaruJV,유수건,Silver 2
Inosuke,4320,Silver 2
Kappychu,NA1,Gold 3
kaif7,2076,Gold 2
LeavixTTV,7076,Bronze 1
Markiezee,1812,Iron 3
TwilightLover,3548,Iron 3
PunkPants,GAYMR,Gold 1
VesparsToast,3566,Bronze 1
Rice farmer,Thao,Platinum 2
Bzqb,4497,Gold 1
BackToOwn1,NA1,Gold 1
jaxonm200,NA1,Bronze 3
EX0,3894,Diamond 3
Kryptic,1249,Silver 1
zsniper10,NA1,Bronze 1
NotGuptaAce,7435,Gold 1
ChinoAntrax,CDS,Gold 2
waka,flcka,Silver 3
Din,7777,Gold 3
Marky2701,5118,Gold 1
choppershat,NA1,Iron 1
vergin4life,1353,Bronze 3
maj0rdoink,2930,Bronze 1
PorkAdobo,bruh,Gold 1
SmurfingIsBAD4u,8858,Gold 1
main character,5376,Gold 3
CosmicChaos,5623,Silver 1
Bob,7246,Silver 2
ekko,uhh,Gold 1
MakeEmWedd,7956,Bronze 2
Clutch,3679,Diamond 1
ＨＡＶＯＫＫ,0001,Silver 2
ESHAN JAIN,curry,Gold 1
Li0NAiM,5898,Silver 1
kingo53v,8667,Iron 3
ZukiSolos,7699,Gold 1
Kaydo,NAE,Gold 3
queen ツ,hehe,Platinum 1
Unix424,1585,Gold 2
Daddy EC,4455,Silver 2
bluebigbird101,1001,Iron 3
Solar,asian,Silver 2
button,dino,Iron 1
ImDirtyDan,0143,Platinum 1
Toasters,2866,Bronze 1
Eclipsis101,2762,Silver 2
sam,5885,Silver 1
Fnaf867,3016,Iron 1
Zopien,7091,Bronze 3
xDGrief,8852,Gold 2
dill dough,80085,Ascendant 1
Raplid,6969,Bronze 2
Pug,Kenny,Gold 2
dsdd,3900,Silver 1
killmovesx,4600,Iron 3
Jariin,NA1,Iron 3
iTsTEddy,8698,Silver 1
Flxmes,ggez,Gold 2
teatea,scorp,Iron 3
SwearingTrack3,7720,Silver 2
Soju,4964,Diamond 2
meiji,1314,Silver 1
CAPTAIN COOCHIE,lmao,Silver 1
tata squeezer,women,Gold 1
无钱妹,你没有女人,Silver 1
Nitronic,VNM,Iron 2
NomNomGOD,NA1,Platinum 3
static,2896,Iron 1
NahB,8526,Bronze 2
NingNing,Kpop,Silver 1
DonHornsby,8121,Silver 1
òwó,カタカナ,Diamond 2
Thetaburgah,1342,Bronze 1
BinLaggin,4284,Platinum 1
lVlythiic,69420,Bronze 3
HnH Kenjin,1450,Iron 3
cL0mb0,SOLOQ,Ascendant 3
doodoo,trash,Gold 2
zumorito,DADDY,Gold 1
boof,wifey,Gold 2
SLindsay,NA1,Gold 2
incel destroyer,5936,Gold 3
janettesux,0000,Gold 1
allysuna11,1214,Bronze 2
Mwah,0666,Silver 1
CMAN,9501,Gold 1
Tkhan,2758,Bronze 3
KanyesConscience,NA1,Silver 1
G00beriv,6006,Gold 1
BrooklynBloodPop,NA1,Silver 1
Orcery,4507,Gold 1
ghxst,8947,Iron 1
DevilofChaos,Demon,Iron 2
Aboss,NA1,Gold 3
caring,jin,Gold 2
Dusk Eyes,6969,Bronze 1
Cobaltum,beam,Diamond 3
Bacon,9238,Silver 3
1017 Guwop,4157,Bronze 3
