Rank,KD,Assists,Headshot %,Ability Usage
Iron 1,0.74258,3.9199999999999995,9.14818,18.84
Iron 2,0.9323157894736843,3.9473684210526314,11.097099999999998,28.06315789473684
Iron 3,0.9802235294117648,3.7470588235294113,11.586864705882348,25.200000000000006
Bronze 1,0.952955172413793,4.298851724137932,11.698072413793103,26.79540344827587
Bronze 2,1.0343342857142857,4.47238,12.660968571428572,31.533334285714286
Bronze 3,0.9879942857142855,4.805714285714285,12.688259999999998,32.32571428571429
Silver 1,1.1364800000000002,4.2700000000000005,14.78331,34.315
Silver 2,1.094713333333333,4.679999999999999,13.808862222222224,35.92444444444445
Silver 3,1.195683333333333,4.873333333333335,15.568099999999998,36.05999999999999
Gold 1,1.05853,5.22,14.012846666666666,36.63333333333333
Gold 2,1.077135,5.31,15.005175000000003,42.78
Gold 3,1.0686324324324326,5.654054054054054,15.055289189189189,40.04864864864865
Platinum 1,1.143578787878788,5.654545454545453,16.328148484848484,39.666666666666664
Platinum 2,1.125146875,5.018750000000001,17.751918749999998,39.81875000000001
Platinum 3,1.099415,5.24,15.794485,35.54
Diamond 1,1.0428666666666668,5.77037037037037,18.803048148148147,40.837037037037035
Diamond 2,1.0435999999999999,5.83,20.284784999999996,43.95
Diamond 3,0.9997705882352941,5.988235294117647,17.841629411764703,45.4470588235294
Immortal 1,1.073676923076923,6.107692307692308,19.073723076923077,46.93846153846154
Immortal 2,1.185816,6.088000000000001,20.70902,49.256
Immortal 3,1.0985916666666666,6.193750000000001,21.16303333333333,47.90000000000003
Radiant,1.174848,6.4239999999999995,22.502083999999996,49.84
