Rank,KD,Assists,Headshot %,Ability Usage
Iron 1,0.09082095242839064,0.35552777669262353,1.3182577389873344,4.08039213801811
Iron 2,0.07315468920992724,0.31672376410938263,1.010384123816689,2.815871999665112
Iron 3,0.05835045224624126,0.2596183711669368,0.8238172520282855,2.3954799979706283
Bronze 1,0.051963379864582604,0.3038096181076182,0.9257208133973537,2.4139145476919204
Bronze 2,0.05119796837205721,0.24432119759299908,0.7418885530108922,1.7246564626324508
Bronze 3,0.04850035206367186,0.2886637675709982,0.9596984132388201,2.4300649880895233
Silver 1,0.06526361074273694,0.2341980314791692,0.9295569273322007,2.158761367318222
Silver 2,0.04742723481313455,0.2510905506913087,0.8446126365207869,2.0931566118117555
Silver 3,0.06002839482964504,0.2988842598168789,0.9725381468983177,2.608811769862807
Gold 1,0.06648909687646748,0.24037327294195496,1.1306540382759585,2.9209207072047985
Gold 2,0.06711852370992674,0.3798822532256404,1.0633462364747432,3.3729855586627364
Gold 3,0.045066659179269,0.23919894450848417,1.143569093602831,2.57776826218686
Platinum 1,0.04112152692288114,0.25394951885507044,1.2047554967908427,2.718701598895764
Platinum 2,0.056997205467782294,0.2881195113535018,1.2160907262969463,2.7533609868287017
Platinum 3,0.05132217601890813,0.3223597206129888,1.8577945764474693,3.905248829594938
Diamond 1,0.0518399226306095,0.3324267507009907,1.2611483100207135,2.3809557093089384
Diamond 2,0.05826608022909346,0.4394434278900863,1.3953543905869445,3.1127877165687114
Diamond 3,0.04158371408155613,0.341910974066132,1.392096661244256,3.0655835934069864
Immortal 1,0.05560282476896267,0.31591575038485004,1.366002062456389,4.543825600175762
Immortal 2,0.0634553892326465,0.2553637927872051,1.3830929595053738,2.7910456821772014
Immortal 3,0.026786251871421824,0.1803099441476508,0.9045581667307072,1.771458257586799
Radiant,0.053468727034283,0.3291038336655065,1.2308153018315406,2.403552925705333
