Rank,KD,Assists,Headshot %,Ability Usage
Iron 1,0.8820181818181819,3.157577272727273,8.24300909090909,21.924240909090905
Iron 2,0.9454181818181817,3.1348484848484848,11.595060606060608,22.128787878787882
Iron 3,0.9918599999999997,3.2266666666666675,10.695689999999997,23.459999999999997
Bronze 1,1.0312595505617976,3.6850191011235953,11.183644943820223,25.199064044943825
Bronze 2,1.0589183098591548,3.8268781690140843,13.063063380281692,26.74014084507042
Bronze 3,1.0800615942028988,3.7637681159420313,12.47849420289855,27.30289855072463
Silver 1,1.1199939130434782,4.219275652173914,13.40469391304347,29.35652173913042
Silver 2,1.1183163265306122,3.9857142857142858,14.811012244897954,28.647618367346936
Silver 3,1.1965977272727277,4.063636363636363,15.72644431818182,30.481250000000014
Gold 1,1.1551943925233643,4.033957009345794,15.780242056074766,31.033799999999996
Gold 2,1.0768392405063292,3.9202531645569625,16.17391772151899,29.988607594936695
Gold 3,1.121056310679612,4.149029126213594,16.869444660194176,33.18462815533979
Platinum 1,1.1015472527472527,4.070146153846154,18.688081318681323,34.199267032967036
Platinum 2,1.1342499999999998,4.094117647058823,19.057785294117647,33.239705882352936
Platinum 3,1.1316476923076926,4.225384615384616,18.656750769230772,37.37
Diamond 1,1.2054400000000005,3.9702569230769225,18.868824615384618,33.519999999999996
Diamond 2,1.059394642857143,4.105357142857144,18.63389107142857,36.00714285714285
Diamond 3,1.1165063291139237,3.818354430379747,19.453250632911395,34.292405063291135
Immortal 1,1.1474314814814817,3.796296296296297,20.68557592592592,34.55555555555556
Immortal 2,1.1184644444444447,3.782222222222222,20.971842222222218,37.82222222222221
Immortal 3,1.1335485714285716,4.135238095238097,22.505021904761907,42.579047619047635
Radiant,1.182618,4.4719999999999995,21.537599999999998,44.663999999999994
