Rank,KD,Assists,Headshot %,Ability Usage
Iron 1,0.7368540540540539,3.717567567567568,7.518700000000001,18.672072972972977
Iron 2,0.8933179999999998,3.552,10.395029999999998,23.795666000000004
Iron 3,0.9131206521739132,3.8344206521739137,9.543952173913041,22.073188043478254
Bronze 1,0.9579586466165417,4.157266917293233,10.559308270676695,24.219800751879703
Bronze 2,1.0263552631578947,4.657127631578947,10.953403947368416,25.48486842105264
Bronze 3,1.0033248520710059,4.3697242603550315,11.429713609467463,25.771991715976334
Silver 1,1.0233679775280895,4.362171910112358,12.288046067415733,26.33623595505617
Silver 2,1.0197226950354612,4.188416312056738,13.547191489361705,27.38238652482269
Silver 3,1.0627671641791043,4.668407462686566,12.422817910447762,26.31567089552238
Gold 1,1.1067716049382723,4.675102469135804,13.291869135802472,29.300000000000015
Gold 2,1.0411500000000007,4.6987499999999995,14.793425624999994,31.587083125
Gold 3,1.050898630136986,4.531507534246575,15.712842465753429,32.224886301369864
Platinum 1,1.0856661417322833,4.5556425196850405,16.670072440944878,33.34632598425197
Platinum 2,1.098583695652174,4.491485869565217,15.769226086956522,33.48985652173915
Platinum 3,1.0726421052631578,4.5769,14.532405263157896,29.900877192982463
Diamond 1,1.0833302325581398,4.992830232558138,15.855995348837205,31.19302441860466
Diamond 2,1.0858202898550726,4.67874347826087,16.343037681159423,34.020047826086966
Diamond 3,1.08562,4.777647058823527,17.345848235294117,36.879607058823524
Immortal 1,1.092565306122449,4.625170408163264,18.213537755102045,36.99727857142857
Immortal 2,1.1483714285714286,4.7294363636363626,18.620850649350643,36.727706493506496
Immortal 3,1.1263264705882348,5.072254705882353,21.582488235294115,43.689803529411755
Radiant,1.2091026315789477,4.489473684210526,23.042381578947364,42.852631578947374
