Rank,KD,Assists,Headshot %,Ability Usage
Iron 1,0.024449999999999996,0.0,0.44129999999999997,7.700000000000002
Iron 2,0.08725066075834707,0.36349419208793543,1.0292449999689446,2.2869344555872715
Iron 3,0.06663223757526984,0.2656048927832708,0.8108305398309691,1.5957392105745558
Bronze 1,0.05732709142789246,0.19261900556716213,0.805569278238107,1.4046163189440335
Bronze 2,0.052063996226634976,0.27142306854183046,0.8350403515698588,1.6209836301580516
Bronze 3,0.04510161343973453,0.2261089088209878,0.7699016508554084,1.6438317341171924
Silver 1,0.036657687926461846,0.1887526111325785,0.7726174347484384,1.5512163538038592
Silver 2,0.04516349704021871,0.2033567210066689,0.8543018107175943,1.5616682914334814
Silver 3,0.0621245761304411,0.34769299885953797,1.1208479096687527,2.2744049788159617
Gold 1,0.048503902186161074,0.28172185331219013,1.1888758454704647,2.218502076633417
Gold 2,0.05443022307957204,0.2812291957516995,0.9923656794056365,1.987575173352803
Gold 3,0.04004031667701891,0.20933757957476773,0.9298603343241901,1.7779922850385388
Platinum 1,0.04543503800495169,0.2676723732471469,0.9910415327420379,1.8849884011603368
Platinum 2,0.05085232193473417,0.2975282791989309,1.5941687835567677,2.529017396951401
Platinum 3,0.05598568219220263,0.3199316742249326,0.9798480936369407,1.9636374511283092
Diamond 1,0.06405577334389312,0.41151836948191345,1.3069809867838451,2.873266983399687
Diamond 2,0.047871537562717295,0.3252995622419514,1.523015027833569,1.9529057856121401
Diamond 3,0.05127855244200023,0.3072644056544202,1.5014207258295056,3.1766682759056284
Immortal 1,0.054810187533277564,0.37125062114372265,1.3054433888455121,3.090797907023714
Immortal 2,0.06424338779841078,0.23734491171483083,1.1478361138741564,2.0312589869082243
Immortal 3,0.032447126819353814,0.18569630435780238,0.8938758637261499,1.2929679140574397
Radiant,0.04948211894176281,0.23324060926131454,1.5593577970495296,2.407958571577
