Rank,KD,Assists,Headshot %,Ability Usage
Iron 1,0.7740610389610392,3.6417753246753253,8.212089610389608,20.075324675324676
Iron 2,0.8949091603053433,3.7896946564885488,11.14921221374047,23.424681679389302
Iron 3,0.9542578947368423,3.847995112781954,10.492162030075178,23.502004887218057
Bronze 1,0.984348979591836,4.233770262390669,11.220125072886297,25.13109883381924
Bronze 2,1.0330496470588233,4.370431529411763,12.103155529411772,26.158745176470596
Bronze 3,1.0384970654627534,4.314560045146726,12.302536794582377,27.29315259593679
Silver 1,1.0611514412416847,4.377900886917959,13.359529490022174,28.526496674057675
Silver 2,1.0728321329639898,4.352816343490304,14.194013019390582,29.371698337950164
Silver 3,1.125412307692308,4.707589538461544,14.185083384615375,29.65661507692306
Gold 1,1.1016267352185094,4.592759125964007,14.600322365038581,31.049957069408755
Gold 2,1.072100609756098,4.6289634146341445,15.33224878048782,32.57388201219515
Gold 3,1.0813254691689005,4.562868900804289,16.244953887399454,33.497989544235914
Platinum 1,1.0880830769230767,4.626307384615386,17.289615076923088,34.32589753846152
Platinum 2,1.1340461224489795,4.5153742857142865,17.517554285714283,35.04149714285714
Platinum 3,1.0903585106382985,4.685904255319148,17.17241808510638,34.97952127659575
Diamond 1,1.1278136170212758,4.838511063829789,17.396230638297876,33.91063872340425
Diamond 2,1.061620744680851,4.63661329787234,18.188584574468088,35.99246436170211
Diamond 3,1.0998427966101703,4.521398305084744,18.541366525423737,36.81172288135594
Immortal 1,1.1104337662337664,4.66522380952381,19.162268831168827,37.1321787878788
Immortal 2,1.1421178010471198,4.708725654450261,20.481806806282727,39.965619895287965
Immortal 3,1.1371786780383801,4.941222388059699,22.11862110874201,43.9336174840085
Radiant,1.1981417431192658,4.855963302752294,22.694744495412863,44.78738532110089
