Rank,KD,Assists,Headshot %,Ability Usage
Iron 1,0.03321511419814239,0.1715724640620381,0.5698688915289323,1.5412046388018161
Iron 2,0.02945840616888528,0.14472696625500567,0.47380300525992103,1.0973991739083178
Iron 3,0.02315510779506958,0.10218798081313121,0.3145470620181304,0.767174828842247
Bronze 1,0.01768897402910352,0.08508024052413456,0.2992104843462493,0.6757272087301267
Bronze 2,0.015421725350205645,0.08089576405230735,0.26793948084958286,0.6010598623443257
Bronze 3,0.015321371472488,0.07968949791963809,0.2745847026725268,0.6389703713585748
Silver 1,0.017435798184269,0.07486917460434354,0.30888765793333617,0.6640118041057304
Silver 2,0.01672830348949465,0.08561848344936077,0.3411659120758528,0.7080626569190476
Silver 3,0.019029363173273414,0.10062291247405793,0.37640766284865895,0.8062089614984086
Gold 1,0.017470836579864143,0.08552376852920439,0.35761643535320053,0.7498727452078775
Gold 2,0.01644862424906976,0.0963861156876537,0.3814789608517515,0.8271070742828103
Gold 3,0.014206264675777588,0.07947381406290152,0.35566143925069865,0.7553272713192736
Platinum 1,0.014571572526556812,0.08822566470292156,0.40322849332766914,0.7991817466313273
Platinum 2,0.01882703383145822,0.09617537722380844,0.4957403850776352,0.91970649003297
Platinum 3,0.019064036619170152,0.1089161066409774,0.5354262986044857,1.0941878672728464
Diamond 1,0.018607012483353048,0.12376101938747128,0.5287918238459693,0.9727351300247009
Diamond 2,0.01750579910506058,0.12797732056028188,0.5599338081422319,1.051667592459662
Diamond 3,0.01698762527574387,0.10519540646129737,0.5155460241676589,1.0367177235837395
Immortal 1,0.016799622897714937,0.11985900033302803,0.5738837402261744,1.1160869979446515
Immortal 2,0.020442888824360406,0.11949667055622493,0.49936055675690083,1.0786757623649963
Immortal 3,0.011996656235894201,0.08136807749594376,0.3548215511607748,0.6541293837456491
Radiant,0.019188581105073297,0.11862966783771667,0.5264020659288193,0.9424451867692559
