Rank,KD,Assists,Headshot %,Ability Usage
Iron 1,0.29146144421186193,1.505542262001499,5.000579228649006,13.524015819169476
Iron 2,0.33716686954005937,1.656475841580691,5.422923261574572,12.560307641264217
Iron 3,0.3776483794779791,1.6666355301711457,5.130107330616698,12.512242804166998
Bronze 1,0.327604383602217,1.5757081053869382,5.5414557187035225,12.514643038938244
Bronze 2,0.3179270127408169,1.667708899263537,5.523713904079953,12.391166498824331
Bronze 3,0.3224775647118731,1.6772699016130388,5.779339426889518,13.448770539162043
Silver 1,0.37027987158833486,1.589978736014099,6.559773238139967,14.101459707146557
Silver 2,0.31783776630039834,1.6267511855378545,6.4821523294412025,13.453190481461904
Silver 3,0.3430567233033171,1.8140053520587045,6.785785644392008,14.534138747105427
Gold 1,0.3445787586043633,1.686792378615983,7.053298609211858,14.789802335669595
Gold 2,0.29789725513566606,1.7456267990415464,6.908877825218112,14.979546216217761
Gold 3,0.2743685433905749,1.5348942948606696,6.868963323891361,14.587792635484133
Platinum 1,0.2626927595432147,1.5905107894913855,7.2693050421050005,14.407453829470604
Platinum 2,0.29468969223280234,1.5053827686388448,7.7595644015786025,14.395683617430176
Platinum 3,0.26139290070085563,1.4933824151019748,7.34139553440709,15.002748171944194
Diamond 1,0.2852401000658554,1.8972205014597328,8.106225160152626,14.911747174569463
Diamond 2,0.24002742433661012,1.7547366128921913,7.677425575420736,14.419739536677543
Diamond 3,0.26096885130633063,1.6160424980710082,7.919968302731959,15.926359868490527
Immortal 1,0.2553321623214629,1.821699089024414,8.72227770856742,16.963053769667628
Immortal 2,0.2825263445515577,1.6514768440212488,6.901300199100988,14.907595629742504
Immortal 3,0.2598044800133377,1.7621402704086842,7.684160217997596,14.166092706482898
Radiant,0.2833160047933451,1.7515460553181477,7.772233361980334,13.915036426616684
