User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
Hulk The Legend,NA1,Immortal 1,Duelist,1.3178,3.8,17.4021,43.4
Piano Man,2460,Bronze 3,Duelist,1.2633,5.2,9.5385,23.6
Shoka,5993,Diamond 1,Controller,0.9875,4.6,1.8182,11.6
Ryuuji Takasu,Tora,Diamond 2,Controller,1.2028,7.0,27.3649,50.2
PhNatic,6501,Diamond 1,Initiator,0.8571,6.2,17.2348,48.0
solitary,1818,Immortal 1,Flex,1.1376,3.2,26.8362,55.2
BrKiwi,juice,Diamond 1,Initiator,0.8114,8.8,9.84,48.2
andruzii,3662,Platinum 3,Duelist,0.98,5.4,13.3364,47.0
not a smurf,iam1,Platinum 3,Duelist,1.1857,2.8,25.9901,55.4
washed,0002,Platinum 1,Duelist,2.4337,4.0,15.4401,26.6
Mullarduck,NA1,Immortal 2,Flex,0.8953,6.6,18.8063,61.8
SupremeBrick,8840,Diamond 2,Flex,1.2,4.0,14.0625,43.0
fbr,6083,Gold 2,Flex,1.4965,7.4,15.9494,31.6
Ahtsu,Fear,Immortal 3,Duelist,0.9134,1.2,37.1011,38.8
Reverza,DDY,Diamond 1,Flex,1.2702,5.2,13.7579,30.2
BiggFudge,NA1,Platinum 1,Initiator,0.7347,7.8,9.9537,32.0
RehsaVAL,0000,Diamond 3,Flex,2.3305,2.0,11.1398,12.0
Skril,Core,Platinum 1,Controller,1.2462,7.6,21.9073,47.0
Froot Loops,phnx,Platinum 3,Initiator,0.8203,9.2,22.9954,62.8
111,9244,Diamond 2,Controller,1.6464,4.4,23.4943,32.8
UY Scuti,52353,Diamond 3,Duelist,1.2648,2.4,15.6581,26.0
afen,0000,Diamond 3,Controller,0.9964,4.4,18.894,53.8
Leli,Frys,Immortal 1,Duelist,1.5118,4.0,24.8177,64.8
Scyz,3716,Diamond 3,Duelist,1.0216,7.0,7.3427,34.6
WasWeird,9398,Immortal 1,Controller,0.9974,6.2,21.1078,45.8
vag cream,21821,Platinum 2,Flex,0.75,7.0,27.027,44.0
Reality,2340,Diamond 3,Duelist,0.7433,3.0,14.0981,38.4
Owen,ope,Diamond 3,Duelist,0.7333,2.2,12.381,10.4
