User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
redington,8101,Silver 2,Flex,0.6305,3.0,0.0,0.0
calico,horny,Bronze 3,Initiator,0.9326,5.6,24.2022,35.8
StrikeOnRat,Rat,Silver 2,Sentinel,1.6572,6.0,13.4233,74.6
spencechamp,NA1,Silver 1,Flex,0.8,1.0,11.4286,31.0
Pogz,1369,Silver 3,Flex,0.6682,4.0,4.0144,6.6
Seallord,2071,Silver 2,Initiator,1.4228,5.8,12.1245,33.2
The Real Gecko,6369,Bronze 3,Flex,0.6846,5.0,12.2089,33.0
Wave,butt,Silver 2,Flex,1.2442,3.0,17.1775,38.8
Tuss,2823,Silver 1,Flex,0.85,0.8,10.9516,9.2
Crimm,Spark,Gold 1,Sentinel,0.77,3.0,23.3598,27.0
kioshi,66666,Bronze 3,Flex,NaN,NaN,NaN,NaN
delirium,6688,Bronze 3,Flex,NaN,NaN,NaN,NaN
Konakill,NA1,Bronze 3,Flex,0.9,2.5,3.125,11.5
Addxtion,0000,Bronze 3,Duelist,0.8041,5.4,9.1414,54.2
Wenko,NA1,Silver 2,Controller,0.6792,5.8,9.6444,30.0
Abi YT,0776,Bronze 2,Duelist,0.9357,1.8,11.6596,9.6
IPickShinJiyeon,NA1,Iron 3,Initiator,0.6991,8.4,7.8804,50.0
tonchi,8731,Bronze 3,Duelist,1.0824,3.8,9.1758,18.0
UZI VERT,333,Bronze 3,Flex,NaN,NaN,NaN,NaN
QuirkyJoshKim,1859,Silver 2,Flex,0.775,3.8,11.3495,25.0
Master Bilf,booty,Bronze 3,Controller,0.9678,2.0,15.2839,16.0
jumpyyy,NA1,Bronze 2,Flex,NaN,NaN,NaN,NaN
doll,8080,Bronze 1,Flex,1.15,2.2,8.7719,7.6
Yorgalfen,6334,Iron 3,Flex,0.5937,7.2,0.0,0.0
bonch licker,1853,Bronze 3,Flex,1.2866,7.6667,10.0,32.6667
BearlyLethal,BEAR,Bronze 3,Initiator,1.9054,5.2,15.0141,38.6
BigBootyBandit5,5000,Silver 1,Controller,1.4475,5.8,10.1636,54.0
Bonanamanjo,NA1,Iron 3,Flex,1.0,3.0,20.0,14.0
TiagoALt,2179,Silver 2,Duelist,1.1893,6.2,15.3586,51.0
ihavelowfps,ahhh,Iron 3,Flex,NaN,NaN,NaN,NaN
kevkarll,0001,Iron 1,Sentinel,0.7471,2.8,9.3543,27.6
ThatAppleGuy,NA1,Bronze 2,Initiator,1.7338,2.6,16.2338,17.0
hanna,6588,Iron 3,Duelist,0.5848,2.4,4.8889,9.6
Spxce,1203,Bronze 2,Initiator,0.6889,6.0,13.8253,22.6
RaiKyMar,8067,Iron 1,Flex,0.7917,12.5,20.3968,41.0
Giraffe,Titty,Gold 2,Flex,0.9239,7.2,11.8328,35.4
YashoX,8155,Gold 1,Flex,NaN,NaN,NaN,NaN
Chifuyu,1290,Bronze 1,Duelist,1.005,6.0,3.7075,3.4
GentleGiant1996,NA1,Iron 2,Flex,0.6659,5.2,7.2704,28.2
Stun Seed,5035,Bronze 2,Initiator,1.2503,4.8,7.2826,19.0
quad,1137,Iron 3,Controller,0.6633,1.2,10.1515,6.6
HeyyNayy,2930,Bronze 3,Flex,0.6159,4.0,19.3484,28.4
Boba,7419,Bronze 1,Flex,0.7812,10.0,10.873,56.0
ItsChaMallow,5771,Bronze 2,Duelist,0.7607,3.8,13.1097,19.4
Gargamel,sam2,Gold 2,Flex,0.5744,0.5,8.75,9.0
gmcglz,9615,Iron 1,Flex,0.57,5.2,6.0615,30.0
Gunnah,Chi,Platinum 3,Duelist,1.1058,3.6,25.0321,38.8
Pain,01121,Bronze 2,Duelist,1.3208,2.2,14.6039,27.0
Y1212,8485,Bronze 3,Flex,1.092,2.8,11.77,27.2
Astrolita,9528,Gold 1,Flex,1.6878,7.6,9.7327,33.0
who where,IMM3,Bronze 3,Flex,1.0455,3.0,33.8462,64.0
SkyeGL,420,Immortal 1,Initiator,1.2426,4.2,20.5929,36.4
PurgatoryYT,1134,Silver 2,Flex,NaN,NaN,NaN,NaN
BeesOfKnees,meow,Silver 2,Flex,0.5,1.0,5.8824,18.0
Enis,1577,Gold 2,Duelist,2.3554,1.2,5.7145,19.6
His Hammer,4011,Iron 1,Duelist,0.5867,0.4,4.0196,9.0
anthokneee,NA1,Bronze 3,Flex,NaN,NaN,NaN,NaN
Tay,Cute,Gold 1,Sentinel,0.7351,3.4,16.8,28.2
Sun,6026,Gold 1,Flex,0.9742,5.8,5.7411,38.2
SupremeStigma,idol,Silver 2,Flex,0.943,4.6,7.3291,18.0
Heathyboo,daddy,Bronze 1,Duelist,1.0117,3.6,19.4897,33.2
NotGod,5823,Bronze 2,Duelist,1.335,4.2,13.2723,32.8
