User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
2005Josh,NA1,Silver 1,Flex,0.5789,8.0,9.2105,19.0
EmveeOG,NA1,Gold 2,Flex,0.7778,5.0,20.3704,27.0
JohnnyG,1111,Gold 2,Sentinel,0.8267,3.2,21.2995,31.4
Har1,PH1,Gold 2,Flex,0.9944,4.0,19.7587,45.5
MAGZ626,5156,Platinum 2,Duelist,1.3734,6.0,8.2459,40.8
CrackedCasey,2929,Gold 3,Controller,1.2998,6.0,22.555,53.6
kurr,soup,Silver 3,Initiator,1.0775,3.6,30.6828,24.8
Amponmercer,8379,Gold 2,Initiator,1.1492,4.6,24.7384,47.2
hollow,3726,Platinum 1,Duelist,1.3026,4.4,26.2658,15.2
ShadesReality,1234,Gold 3,Sentinel,1.5397,4.8,18.7006,45.6
tnasty,000,Gold 2,Flex,0.6974,4.8,20.8347,36.6
Mikey,2329,Gold 2,Flex,0.9333,5.0,15.942,46.0
DrProfessor,7710,Gold 3,Duelist,1.6323,5.8,15.7879,46.0
ＬｅｅｌＤａＧｏｄ,LFT,Immortal 1,Flex,0.9641,4.0,0.0,0.0
Protozero,6742,Gold 1,Flex,0.5267,2.8,17.062,16.2
bonquiqui,5111,Gold 2,Flex,1.017,7.2,24.9253,34.0
Look Behind You,Shaco,Gold 3,Flex,1.5418,6.2,24.3245,41.4
ph1lthy,1944,Gold 2,Flex,1.7233,4.0,21.8015,28.2
samcon,1703,Gold 2,Flex,0.8911,6.2,10.0097,28.0
Malkin,2003,Gold 1,Controller,2.17,5.0,31.4133,53.4
bobaSimpp,egg,Gold 2,Duelist,0.9719,5.2,11.8859,21.8
His Meatball,arara,Gold 3,Flex,0.7778,1.0,20.0,40.0
TheRaccoon13,NA1,Silver 3,Flex,1.0458,4.6,12.8346,34.2
val black dude,6969,Gold 3,Sentinel,1.2036,3.4,27.0818,24.6
Reyna,6942,Gold 2,Flex,1.2506,6.8,32.196,50.0
trod,baby,Platinum 1,Flex,1.3768,5.6,31.4329,54.8
tune,ktp,Platinum 1,Initiator,2.2246,2.2,17.3531,21.2
marcel,jew,Gold 1,Controller,0.9633,4.6,26.3683,47.6
Daken,HK1,Platinum 1,Flex,0.8345,6.0,19.0051,55.8
Deqth,Sexy,Gold 1,Flex,1.0588,15.0,6.0976,78.0
BOLO,titan,Gold 3,Flex,1.2609,5.6,9.0759,47.8
dilo,1017,Diamond 3,Flex,2.1026,2.4,5.7143,6.2
theonetruehank,1783,Gold 3,Duelist,0.7168,6.8,9.8641,45.4
dookle,NA1,Diamond 2,Controller,1.277,7.4,15.2163,48.0
W0shua,NieR,Gold 3,Initiator,1.0783,5.0,14.2087,27.2
Symperion,4KT,Platinum 1,Duelist,1.5416,3.4,17.7461,47.4
SLIDING 4 VON,durk,Gold 3,Flex,0.9803,3.8,28.1744,40.4
completeham,5575,Platinum 2,Flex,2.7333,3.5,36.75,29.5
rourou,0108,Silver 2,Flex,1.2022,5.0,9.9476,21.8
quack,3773,Platinum 1,Flex,0.5604,2.4,10.8707,18.4
Shanks,Dez,Platinum 1,Duelist,1.0897,5.2,31.5776,46.4
MyChampsAreOP,NA1,Silver 2,Duelist,0.7601,5.4,6.0564,25.0
Ki11Monger,ibmbe,Gold 2,Flex,1.6904,5.4,17.3698,34.4
LilGute,1667,Gold 2,Flex,NaN,NaN,NaN,NaN
Cheeto,7062,Gold 2,Controller,0.8869,8.0,19.7893,70.6
kaho,8779,Gold 3,Duelist,0.7177,5.4,24.727,21.4
biscuitboi55,태태uWu,Gold 3,Duelist,1.5396,3.8,18.0208,27.0
jaybow,bow,Gold 3,Duelist,1.3883,5.6,16.0559,29.4
Stumpkip,NA1,Gold 3,Flex,1.3469,5.8,17.1854,34.2
aceventura,9748,Platinum 1,Flex,0.6545,4.5,12.766,23.0
parallelmani,7066,Gold 3,Duelist,1.0655,3.2,12.6801,28.8
zic,3069,Platinum 1,Flex,NaN,NaN,NaN,NaN
vismEX,hot,Platinum 1,Controller,1.4726,5.6,29.5112,53.2
kieran,4892,Silver 1,Flex,0.6,6.0,0.0,0.0
lastdegree,8449,Silver 2,Controller,1.0071,5.0,13.5919,38.8
m0nty,6969,Platinum 1,Flex,0.655,4.0,19.5202,40.25
boo,phi,Diamond 1,Duelist,1.0581,2.4,17.5088,29.2
north,zoom,Platinum 1,Sentinel,1.1163,2.2,24.1334,46.6
pacpup,NA1,Gold 1,Initiator,0.895,6.6,7.0053,20.2
The CrabFather,NA1,Platinum 2,Duelist,0.8901,3.2,10.2139,44.0
Tonkas Dad,Nice,Gold 3,Initiator,1.1655,8.4,20.4023,51.2
Papa Ghostly,1206,Gold 3,Flex,1.5771,6.2,10.7854,34.4
imago,2401,Gold 3,Flex,1.0933,4.6,7.9923,24.4
