User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
thatonepineapple,4201,Silver 3,Flex,1.7817,5.0,12.0427,44.2
dgeaiar,NA1,Silver 1,Initiator,0.788,8.4,7.3205,68.8
byungwoo,007,Gold 1,Duelist,1.8325,4.2,7.0725,20.4
Evilistix,6916,Silver 2,Flex,1.0667,2.0,42.1053,33.0
Sorros Kitten,69420,Gold 1,Flex,1.0,3.0,12.7273,32.0
Sillikony,42069,Silver 1,Sentinel,0.9284,4.4,17.4326,21.0
PPlord,8225,Silver 1,Duelist,1.0591,4.8,17.7815,37.2
bootylicker,5777,Bronze 2,Duelist,0.7604,6.2,2.7273,14.8
Kazuto Kirigaya,6969,Silver 1,Initiator,0.7056,2.6,8.5313,35.6
RE Z,7649,Platinum 2,Controller,0.8259,5.0,19.5329,28.0
xAngiemx,NA1,Silver 2,Duelist,1.8122,4.2,14.7989,26.6
Mcthuggin,3237,Gold 1,Controller,0.8834,10.2,11.9891,52.0
MGCDROP,5495,Gold 1,Flex,0.4667,5.0,0.0,59.0
Rift,0226,Bronze 2,Duelist,1.2499,5.0,2.0,5.4
Filbert,TkuOr,Gold 1,Flex,NaN,NaN,NaN,NaN
BIGNUT6419,7512,Silver 3,Controller,1.6281,3.8,22.217,30.0
viiiiiida,NA1,Silver 1,Sentinel,1.2283,4.0,11.7743,13.2
Minerdwf,2481,Bronze 2,Flex,0.8843,5.2,16.3146,17.6
Kank,Crilp,Gold 2,Duelist,2.5856,1.8,16.6343,19.0
FlakAttackGaming,NA1,Silver 3,Flex,1.3619,5.0,12.8631,49.8
Hydra,6388,Gold 2,Duelist,1.1639,4.4,17.8401,37.6
ImmortalAssassin,3007,Bronze 2,Sentinel,2.515,4.6,11.3548,26.0
EL DAN RAY,jonsn,Bronze 2,Duelist,1.1265,3.4,18.9535,24.2
ChingBungus69,NA1,Bronze 2,Flex,0.9634,4.2,17.4413,22.2
DrogarnRhidor,9995,Iron 3,Flex,0.7895,4.0,9.8109,38.5
Sircole,9111,Bronze 2,Flex,0.6316,4.0,27.5862,30.0
codymody18,4807,Gold 1,Flex,3.035,4.0,23.2203,24.6667
Your Amazing,Lgbtq,Bronze 3,Duelist,0.7549,3.2,13.0967,16.8
tarebear,slay,Bronze 3,Sentinel,0.8243,3.2,17.24,25.4
GeneriK,6685,Bronze 2,Duelist,1.1052,3.0,8.1855,21.8
Zulema,NA1,Platinum 1,Flex,1.744,9.5,15.2477,78.0
Gars,666,Silver 1,Duelist,0.7765,3.0,4.8243,19.6
nagooyin,ABG,Gold 2,Duelist,0.6729,5.2,10.8114,25.2
uwu kitten,hehe,Silver 3,Duelist,1.239,1.0,26.8013,20.2
Mik7os isLIVE,0000,Silver 2,Flex,0.769,5.0,9.3586,54.2
OxiClean,clean,Bronze 2,Flex,1.044,3.4,14.0147,43.6
nugg ツ,0969,Bronze 1,Flex,1.4,6.0,0.0,0.0
wollard,420,Silver 1,Flex,0.7304,4.6,20.0462,36.4
RMarlinl,6244,Bronze 3,Flex,2.3571,6.5,14.8286,17.5
simp4,yamum,Silver 1,Sentinel,1.0284,5.0,11.2249,31.2
Littlz,koda,Bronze 2,Initiator,1.0435,7.2,14.4037,46.2
PapousXI,6834,Bronze 2,Controller,2.2474,7.0,7.563,7.2
skahaydee,8645,Platinum 1,Duelist,1.4108,4.0,12.1261,14.6
SweeTMango,6969,Iron 2,Sentinel,0.6884,8.0,14.4444,15.4
TwistedT,125,Gold 3,Flex,0.885,2.8,10.454,45.4
Kirby,0728,Gold 3,Flex,0.7227,7.8,10.9711,49.2
solace,047,Gold 1,Duelist,0.7174,3.6667,9.6502,19.3333
Longshlong,2992,Silver 1,Initiator,0.4548,2.2,1.0526,3.2
Chico,PE47,Silver 3,Flex,NaN,NaN,NaN,NaN
seraphine,karie,Silver 2,Flex,0.25,7.0,3.7037,18.0
HeyJude,444,Iron 3,Flex,NaN,NaN,NaN,NaN
SheeshTen,1194,Bronze 3,Flex,0.619,8.0,14.0625,24.0
Platshloni,god,Gold 2,Duelist,0.8879,3.6,17.064,43.4
Zursch,9462,Gold 1,Controller,1.0006,5.4,13.4935,36.8
crybaby,hmph,Silver 2,Flex,1.1056,2.6,15.5401,28.4
mitski,nope,Silver 1,Flex,0.743,4.8,10.1034,29.0
Jared Simpツ,116,Bronze 3,Flex,0.7713,6.2,8.6069,21.0
Shippi,NA1,Gold 2,Initiator,1.7181,5.8,12.8865,43.2
moti,swag,Gold 1,Flex,NaN,NaN,NaN,NaN
Rx Devilz,NA1,Bronze 3,Duelist,1.03,5.2,10.3084,35.2
Grav,HCP,Bronze 3,Duelist,0.9694,5.6,11.8776,29.8
Cheche,3172,Bronze 3,Duelist,2.5273,5.4,6.6135,34.6
lia,crepe,Gold 3,Flex,1.1108,5.8,32.3992,45.8
Flyn,1234,Silver 3,Flex,1.0648,3.3333,19.6997,39.3333
Halto,NA1,Silver 2,Controller,0.8426,4.0,9.9109,39.0
yor,14721,Silver 3,Controller,1.0814,4.2,13.747,15.8
Morph,1668,Silver 2,Sentinel,0.8165,4.2,15.3657,36.4
AsmoDeUs,5631,Silver 2,Flex,NaN,NaN,NaN,NaN
Kyle,1224,Gold 1,Initiator,0.8779,4.8,21.3436,31.6
CeXar,Nerd,Gold 3,Duelist,0.9171,4.2,15.1016,49.6
LilFries,5502,Bronze 1,Duelist,0.8953,2.6,2.9387,19.6
egoVAL,urnan,Silver 2,Duelist,1.2691,3.6,25.4386,71.4
Box,0123,Diamond 1,Duelist,0.7822,3.8,10.5154,23.8
WALLJUMPER123456,0000,Bronze 1,Duelist,0.6736,2.0,5.2624,9.8
Lilith,3786,Silver 3,Sentinel,0.4948,8.6,8.3324,23.8
MrDiddlez,5338,Silver 2,Controller,0.9678,7.2,7.5145,37.6
ReTxRDer CaRTeR,swag,Bronze 1,Flex,NaN,NaN,NaN,NaN
Dawnista Savvy,NA1,Silver 3,Flex,0.5556,7.0,25.641,66.0
鬼滅の刃,BETCH,Gold 1,Sentinel,1.0978,3.3333,14.0634,27.6667
Ch3n,0002,Gold 3,Duelist,0.7009,2.8,13.0687,10.8
mattyicecream,NA1,Silver 3,Sentinel,0.893,6.6,11.6544,38.8
Xolent,NA1,Gold 1,Initiator,1.0468,6.4,16.7193,51.6
Belieber,Baby,Silver 1,Sentinel,1.2275,4.0,12.3792,37.0
plugzsv2,6455,Gold 2,Flex,0.8611,5.4,10.3992,19.0
cube449,NA1,Bronze 3,Flex,0.8421,4.0,7.6923,43.0
TSMMONKEY,2524,Diamond 1,Initiator,0.8457,5.2,12.7829,40.8
bek,0000,Bronze 1,Sentinel,0.6372,4.5,15.2992,26.75
Rin,Rinny,Silver 3,Flex,NaN,NaN,NaN,NaN
Bemmie,lgbt,Silver 1,Sentinel,0.4973,3.6,11.2129,17.0
mCq,bruh,Gold 1,Duelist,1.2795,3.6,12.5258,45.8
BullitG35,6310,Bronze 3,Controller,0.8477,5.2,13.9908,32.6
Tree Slayer,Cow,Silver 3,Initiator,0.7957,7.4,10.7537,28.0
Nqglis,0001,Iron 2,Duelist,1.1048,1.2,8.3652,25.0
Freak,7865,Silver 1,Flex,0.7368,4.0,16.6667,31.0
zexla,idk,Platinum 2,Flex,1.169,7.0,23.5639,62.4
smew,study,Bronze 1,Flex,1.661,6.4,6.7582,11.0
SendBootyPics,5281,Bronze 1,Flex,1.0,11.0,10.4167,51.0
ayyyzen,ayzen,Silver 2,Sentinel,1.3579,4.6,10.4861,19.4
E Cigarette,42069,Gold 1,Flex,0.8571,7.0,26.4706,35.0
Sxcci,5733,Gold 3,Duelist,0.7991,6.4,17.3184,37.0
RamboLell0,NA1,Gold 2,Flex,0.8569,6.6,15.0846,52.4
AllShamNoWow,3748,Bronze 2,Flex,1.7995,6.5,22.7991,34.0
rambunctious,ahh,Platinum 1,Initiator,1.0316,3.8,19.6256,36.8
Fleece,614,Silver 1,Flex,0.8917,5.8,10.612,35.2
Tsoacaa,6362,Bronze 1,Flex,0.5929,1.8,10.697,9.4
nooner,7377,Silver 2,Flex,1.8309,2.8,10.8391,24.2
Patar,613,Bronze 3,Flex,1.0436,2.8,4.7352,22.6
Guru06,ACE,Gold 2,Flex,1.1194,2.0,18.0424,40.3333
