User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
Hulk The Legend,NA1,Immortal 1,Duelist,1.3178,3.8,17.4021,43.4
Trouble,IMBAD,Gold 1,Flex,1.1665,6.4,8.7734,32.6
Cue V,Tofu,Immortal 3,Flex,1.0958,7.8,19.3253,61.0
HAZEL BOY,840,Immortal 3,Flex,1.405,5.2,27.6328,53.2
TIER3GATOSUB,arf,Platinum 2,Duelist,1.0224,3.8,13.2283,27.6
TachyonP,8998,Silver 3,Flex,0.8769,5.0,5.2778,16.0
himacopter,FISHY,Radiant,Flex,0.9046,4.2,15.4468,25.0
Camarly,70WW,Immortal 3,Duelist,1.2049,4.6,22.8412,41.0
TK 60hzSasuke,TTV,Immortal 3,Flex,1.3056,7.2,17.8768,53.4
Reacts,mei,Immortal 3,Duelist,1.747,5.8,26.0809,46.6
RyzeGalaxy,2973,Silver 2,Duelist,1.7585,4.6,15.6297,28.8
a2guapo,315x1,Immortal 3,Flex,1.0663,4.2,16.1147,26.6
Penguin ッ,Dense,Immortal 2,Flex,0.7552,4.0,22.7559,46.4
Meishu,1256,Gold 3,Flex,0.7303,7.8,9.8364,40.4
kazumo,100x,Immortal 3,Duelist,1.1901,4.6,17.9935,44.2
JKronic,TTV,Immortal 2,Flex,0.8166,4.2,21.6586,50.8
YungYaz,Iran,Radiant,Flex,2.4115,6.4,22.0798,42.6
Modigga,Gzus,Immortal 3,Controller,1.3056,7.6,33.8114,43.0
Kuaresma,SNPR,Radiant,Flex,1.0413,4.0,34.1286,53.0
RaijuACE,3131,Radiant,Sentinel,1.4443,3.6,15.6735,29.6
Throat Goat,G0AT,Diamond 1,Flex,1.1432,8.4,0.0,0.0
Uncreative,Zero2,Immortal 3,Sentinel,1.0793,2.2,18.6,36.2
Shah Boo,NA1,Immortal 3,Duelist,1.2612,3.6,29.5759,39.4
sleeps,7155,Gold 3,Flex,1.0812,7.6,0.0,0.0
Erik,5829,Immortal 2,Duelist,0.9374,5.4,30.1421,49.4
TwitchEmilShe1n,EUGUY,Immortal 3,Duelist,0.7022,2.8,24.2157,47.4
JRMY,G522,Diamond 1,Flex,1.5461,2.8,7.6098,17.6
blix,369,Immortal 3,Sentinel,0.8689,3.0,26.9208,42.8
Nibbler,007,Immortal 3,Flex,0.7556,4.0,26.3889,36.0
king,north,Radiant,Initiator,2.238,4.4,26.9035,59.2
NRG s0m,NRG,Radiant,Flex,1.3023,4.0,31.5274,53.6
