User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
Shaymxn,9770,,Flex,3.0,0.0,50.0,4.0
BleachIsClean,NA1,Diamond 2,Duelist,1.4209,4.4,15.7172,49.4
LePastaMasta,7536,,Flex,0.9333,7.0,16.9492,22.0
faygo,4335,Bronze 1,Flex,0.8,4.0,10.6061,36.0
PoopScoop69420,9576,Bronze 3,Flex,1.1715,5.0,0.0,0.0
Qwisque,9685,Iron 1,Flex,0.2353,4.0,6.8182,29.0
Munji06,NA1,Silver 1,Flex,0.9269,5.0,7.4074,21.0
S0RAST0NE,2284,,Flex,0.9463,4.8,7.4903,16.6
Big Stiff,7460,Iron 3,Controller,0.8626,5.6,10.4632,48.6
RobertNelson,5330,Bronze 2,Flex,1.2143,1.0,0.0,0.0
madeblade,4117,Silver 1,Duelist,0.4854,3.2,14.8552,19.8
AzuxrSami,7655,Iron 3,Flex,0.5849,3.8,16.2445,37.0
CopperKepp,5111,Silver 2,Flex,NaN,NaN,NaN,NaN
Mommy Sho,Thigh,Gold 3,Flex,0.95,10.0,34.0426,40.0
Bao,kek,Diamond 1,Flex,0.9,10.0,12.1951,91.0
SpaceboySpliff,3572,Bronze 1,Flex,1.8889,6.0,13.0435,43.0
Kaden,funny,Silver 2,Duelist,2.8801,3.0,14.4224,28.6
Thot Patrol,7777,Bronze 3,Controller,0.7432,6.4,10.9827,33.2
Compy,BEAR,Silver 2,Duelist,1.0353,4.8,18.4125,24.6
DCT Fierce Deity,1216,Silver 1,Flex,0.5455,4.0,0.0,0.0
dacular123,3178,Bronze 3,Flex,0.9526,4.6,13.205,30.6
Guccimxvii,2179,Bronze 1,Duelist,1.2473,4.2,5.8449,19.4
ilapushka,NA1,Bronze 1,Flex,1.0178,3.2,5.2632,2.2
CP1923,9552,Iron 3,Flex,NaN,NaN,NaN,NaN
Broken Rice,huy,Immortal 1,Flex,NaN,NaN,NaN,NaN
duane,jay,Bronze 2,Flex,0.0,0.0,0.0,0.0
its loaded,load,Silver 1,Duelist,2.4185,4.4,12.362,24.0
birb,5433,Silver 3,Duelist,0.8999,3.4,9.021,17.8
GeckoLicker99,9335,Bronze 1,Flex,1.0909,2.0,21.875,28.0
hash,fem,Bronze 3,Duelist,1.002,3.0,19.8188,42.6
Frantic,6700,Silver 1,Flex,1.3077,5.0,14.0351,33.0
suwu,999,,Controller,2.0048,2.2,12.6799,13.8
Stick Sticklyy,NA1,Bronze 1,Flex,0.6,7.0,4.878,36.0
Birky19,1111,Bronze 2,Duelist,0.8777,2.8,5.7935,19.0
iLIKEpoutine,leave,Bronze 3,Flex,NaN,NaN,NaN,NaN
LetsGetTrippi,Tripp,Bronze 3,Flex,NaN,NaN,NaN,NaN
ThePizzaMan66,3319,Iron 3,Flex,1.0295,3.0,5.3191,29.5
SaveWideJoy,2607,Bronze 1,Flex,0.7222,5.0,14.0351,17.0
Ｂｉｇ Ｃｈｏｐ,2142,Gold 1,Flex,NaN,NaN,NaN,NaN
FlacidTeeth,Why,,Duelist,2.3667,0.2,7.5253,13.4
windexexploder,2753,Iron 3,Controller,2.4435,1.5,17.4541,10.25
xhilerate,swag,Iron 3,Flex,1.1986,5.4,14.9527,19.6
Toes,1676,Bronze 3,Duelist,1.4024,8.2,14.9297,39.2
Vixxiiee,1651,Silver 1,Flex,0.2308,2.0,0.0,0.0
xXSinrXx,0003,Silver 1,Initiator,1.3744,3.75,19.3572,29.0
rule 34 brim,999,Platinum 2,Duelist,0.4588,4.6,10.5868,32.4
pan,s3x,Bronze 2,Flex,1.0796,6.0,0.0,0.0
killamushroom12,5844,,Flex,1.2969,7.25,9.9879,28.75
Pocky69man,4731,Bronze 1,Duelist,1.9606,3.0,11.0357,25.4
average6942,5565,Iron 2,Duelist,1.6604,2.2,15.5017,36.8
massi,3803,,Flex,NaN,NaN,NaN,NaN
Arhioxy,6169,,Flex,1.7033,1.8,5.2622,6.4
steakfork,1519,Bronze 2,Flex,0.9159,6.2,11.601,33.4
Papi Buju,7144,Gold 2,Flex,NaN,NaN,NaN,NaN
bunnygirlsimpツ,2112,Silver 2,Initiator,1.1548,3.0,21.8761,28.2
CalculatedL0ss,2396,Bronze 1,Flex,0.7083,4.0,0.0,0.0
MacaroniOni,oni,Bronze 2,Sentinel,0.8919,4.8,6.5189,83.6
ReigningDespair,6652,,Flex,1.2163,3.5,8.1618,11.5
TRZSvGkilleR,NA1,Bronze 2,Flex,0.9601,4.6,9.3329,51.0
LalawhO1,NA1,Bronze 2,Duelist,0.6181,1.8,23.6958,26.2
Æther,0219,,Flex,NaN,NaN,NaN,NaN
ches,meow,Silver 3,Duelist,0.9541,3.2,26.256,39.4
chiakinanami,6013,Iron 1,Flex,0.6,0.0,4.7619,6.0
spooked,5903,Immortal 2,Flex,1.0,5.0,0.0,0.0
BerryAlex,NA1,Gold 1,Flex,NaN,NaN,NaN,NaN
Chonner67,NA1,,Duelist,0.5685,2.2,12.4207,26.8
Je suis inutile,Loser,Bronze 3,Duelist,1.0673,1.6,27.8647,40.4
BabyBirdTea,NA1,,Flex,0.6463,2.8,11.297,19.4
AfricanPanda,9186,Gold 2,Flex,NaN,NaN,NaN,NaN
Itchybolls,2671,Iron 3,Flex,NaN,NaN,NaN,NaN
JDOOG111,3250,Iron 3,Sentinel,0.9928,3.2,14.4928,17.4
stxtiz,trash,Silver 2,Flex,1.2143,9.0,15.7895,28.0
Adooma,2061,Bronze 1,Flex,1.0278,3.5,26.9656,20.5
Frigga,69420,Bronze 3,Flex,1.1,2.0,24.053,20.5
iTzSweendeezy,NA1,,Flex,0.5356,3.6,0.0,0.2
Ngan,2398,,Flex,NaN,NaN,NaN,NaN
Beowulfthehero,7832,,Initiator,0.834,4.4,13.0558,25.4
OJenx,0012,Bronze 3,Duelist,1.0392,3.4,17.1774,17.4
AdamantAlpha,2124,Bronze 1,Initiator,0.9515,5.6,5.3206,30.8
Lazybum45,9492,Iron 3,Flex,1.8,9.0,13.6646,28.0
Hisoka,G681,Silver 3,Duelist,1.5793,3.8,27.5604,40.6
