User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
KEHdude,1414,Silver 1,Flex,1.1056,2.6,19.4213,19.6
RicedCrispy,NA1,Bronze 3,Duelist,0.7977,4.0,15.0989,39.0
MoachEarth,4500,Iron 3,Duelist,2.0229,2.8,17.7907,49.8
TTV IS NOT A JOB,9999,Gold 1,Duelist,0.7863,2.8,16.6939,42.4
baal,lel,Iron 3,Flex,0.3856,3.4,12.116,26.2
Abe,LAHWF,Silver 2,Flex,0.9795,2.6,12.0444,25.4
kuku4kuku,3475,Iron 3,Duelist,0.2549,2.4,0.0,5.8
Kell,4244,Bronze 3,Duelist,1.1316,3.8,16.5421,44.6
Tavzi,NA1,Bronze 3,Flex,0.7499,3.6,14.7689,48.2
Mooze,42069,Bronze 2,Initiator,0.7816,4.6,9.7198,25.6
Astolfo,6756,Silver 2,Sentinel,0.9868,3.8,24.0812,72.4
Penta 先生,0001,Bronze 3,Initiator,0.7518,2.6,18.4059,18.8
NLDeMino,6969,Silver 1,Duelist,1.1341,4.4,18.5814,27.0
Adge2k,6762,Iron 3,Duelist,0.9158,2.2,10.6618,21.4
boners,8365,Gold 1,Initiator,1.8533,4.0,16.2782,32.6
TTV tsunami1x,9999,Silver 2,Duelist,1.0491,4.0,14.5884,22.8
vampirecat27,pvp,Diamond 3,Sentinel,2.4227,0.6,15.4456,6.0
thatasiankid1234,8388,Silver 1,Flex,1.0515,7.0,13.9637,46.8
Squilliam Fancy,BBL,Gold 1,Flex,1.613,5.3333,18.7047,51.3333
Renkechii,boba,Bronze 3,Flex,0.7294,6.8,15.4642,51.4
empty6996,3101,Silver 2,Sentinel,1.019,4.2,8.6031,19.8
Kanye North,kim,Bronze 3,Flex,0.7286,4.8,13.3092,32.6
Lex,Poop,Bronze 3,Duelist,1.7911,4.0,10.352,22.4
codacaleb,ily,Silver 1,Flex,0.7534,6.2,10.173,31.8
10inthepink,6535,Bronze 1,Initiator,1.5737,5.2,10.9501,37.6
Grain,066,Gold 3,Controller,0.7426,5.8,8.7052,42.4
Prominer,0001,Iron 2,Duelist,0.69,0.6,14.6212,13.8
indignation,3418,Silver 2,Controller,1.6724,7.0,16.8017,47.6
teletubbyviv,8969,Gold 1,Flex,1.2663,6.6,8.331,26.4
