User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
angygremlin,0999,Bronze 1,Flex,0.2943,3.0,4.7136,32.2
oaktree,1493,Silver 1,Controller,1.3861,7.2,17.7088,43.8
Tater,TAG,Bronze 2,Flex,0.6983,1.0,16.7579,15.8
itsCakelyn,uwu,Silver 2,Controller,0.8237,4.2,4.4926,51.0
11januarius11,9720,Bronze 3,Duelist,0.8801,3.8,17.3931,25.8
WalterWhite,Peak,Diamond 2,Duelist,0.9705,3.8,18.8023,35.8
squidwyrd,NA1,Bronze 3,Initiator,2.1401,5.8,18.2368,24.6
slubbers,skrub,Silver 1,Sentinel,0.9168,3.0,26.641,23.8
TronaXy,4458,Gold 1,Duelist,0.7761,1.4,26.4001,26.2
kuku4kuku,3475,Iron 3,Duelist,0.2549,2.4,0.0,5.8
Melodied,mwah,Bronze 3,Sentinel,1.1633,5.0,16.3891,20.4
cowboy,777,Silver 3,Controller,2.1452,2.0,14.1388,23.8
Iwillnevergomid,NA1,Silver 2,Flex,0.4092,2.6,7.1688,13.4
DARTHPHATCOOCHlE,babe,Silver 1,Duelist,0.9616,5.2,21.4304,31.2
berksaleh,NA1,Silver 2,Sentinel,1.2679,5.0,19.803,41.6
Penta 先生,0001,Bronze 3,Initiator,0.7518,2.6,18.4059,18.8
CJuicybox,Box,Bronze 2,Duelist,1.2559,2.6,28.1479,16.4
Koi,391,Gold 3,Flex,1.044,3.2,18.562,34.2
colalita,6654,Platinum 1,Duelist,0.9467,1.8,19.3687,14.6
beanieking,4672,Silver 2,Controller,1.9219,2.4,18.5103,23.4
goot,5280,Silver 1,Flex,1.3333,7.0,36.3636,15.0
Arck,2187,Silver 2,Flex,1.7676,3.6,25.5483,32.8
vdweebv,NA1,Bronze 2,Duelist,0.9333,3.4,13.9249,30.0
Staryew,ヒトデマン,Silver 2,Duelist,1.14,7.0,7.791,39.2
jahadtheman21,NA1,Bronze 3,Flex,0.3519,2.2,7.1003,17.8
uRbIgDaDdDy,6602,Bronze 1,Initiator,1.7658,3.2,23.2503,41.0
milk tea,kirby,Platinum 1,Flex,1.2098,4.8,22.6237,32.0
SLY,9395,Silver 2,Duelist,0.9002,4.2,12.8165,32.4
Bleeth,1738,Silver 3,Flex,1.2828,2.6,8.6713,17.0
DG Waffle,5432,Bronze 3,Controller,1.2759,4.6,13.2029,22.6
Ichigoat,Mommy,Iron 3,Flex,0.9111,1.8,11.7143,10.4
Bagel Man,food,Silver 3,Duelist,1.0471,3.6,10.8883,17.0
SomeEvanThing,7586,Bronze 2,Sentinel,1.2244,2.2,24.4969,20.6
ppFORD,8131,Platinum 2,Sentinel,3.2725,2.0,17.2348,20.0
Harper,000,Silver 1,Flex,1.5271,4.4,8.0994,15.6
itzShamblez,000,Bronze 3,Flex,1.6081,3.6,12.962,51.6
