User,Tag,Rank,Position,KD,Assists,Headshot %,Ability Usage
hannah simp,meow,Immortal 3,Flex,0.8441,4.0,23.5171,40.4
vex,753,Immortal 3,Sentinel,1.1433,3.4,23.1563,58.6
TIER3GATOSUB,arf,Platinum 2,Duelist,1.0224,3.8,13.2283,27.6
Bryz,KatBF,Immortal 3,Flex,0.8382,3.0,19.4489,28.6
Big J,deez,Silver 3,Duelist,1.1895,1.8,36.3398,39.8
Doogieboy,6895,Silver 1,Duelist,1.3929,3.2,11.4897,22.0
Reacts,mei,Immortal 3,Duelist,1.747,5.8,26.0809,46.6
b0rkyy,2656,Platinum 2,Flex,1.1643,6.8,8.5482,28.4
Baji,GT86,Diamond 1,Controller,0.8429,6.0,11.9292,50.0
PauI,NA1,Immortal 1,Flex,1.5285,2.8,11.3455,16.4
zill,slvr,Radiant,Flex,1.3883,5.0,31.2233,55.8
YungYaz,Iran,Radiant,Flex,2.4115,6.4,22.0798,42.6
Modigga,Gzus,Immortal 3,Controller,1.3056,7.6,33.8114,43.0
ricewitseaweed,NA1,Immortal 3,Duelist,4.0769,3.2,25.58,31.4
Isaac,5781,Radiant,Duelist,1.1603,4.6,11.6059,35.0
sleeps,7155,Gold 3,Flex,1.0812,7.6,0.0,0.0
RaijuACE,3131,Radiant,Sentinel,1.4443,3.6,15.6735,29.6
Renzy,Ren,Immortal 3,Sentinel,1.3619,6.2,23.4596,57.2
Kuaresma,SNPR,Radiant,Flex,1.0413,4.0,34.1286,53.0
sega,101,Immortal 1,Sentinel,1.193,3.4,15.1515,5.8
king,north,Radiant,Initiator,2.238,4.4,26.9035,59.2
ThroatGoat,4638,Platinum 3,Flex,1.2778,3.8,18.4115,25.4
your bunny,3516,Gold 3,Flex,0.8233,4.4,16.6435,33.8
Centauri,NAE,Immortal 3,Initiator,1.1947,6.4,21.914,56.2
Truman,753,Immortal 3,Flex,0.7976,3.8,14.8381,33.0
Yidz,9624,Radiant,Initiator,0.5521,7.4,14.4781,40.8
Boozy,Brick,Platinum 2,Flex,1.11,2.6,5.3333,10.8
Kessler,Effct,Immortal 3,Flex,1.6138,6.2,15.5374,37.8
Ivan,SKRRT,Immortal 2,Flex,1.9584,3.4,7.8307,16.0
perseverance,LSW,Immortal 2,Initiator,1.0919,12.4,24.7213,62.4
TaxEvadinSince04,FFrd5,Immortal 3,Flex,1.1333,5.6,22.9725,43.4
Vish,4129,Diamond 3,Sentinel,1.3441,3.0,19.0759,28.8
NM gabersenn,kait,Radiant,Controller,0.9463,6.2,19.0682,55.4
BootyBandit00,NA1,Platinum 1,Sentinel,1.0728,4.4,15.3721,36.0
AustinoGambino,NA1,Immortal 2,Sentinel,1.5381,5.4,19.4302,56.0
RIT Huntah,SARS,Immortal 3,Duelist,1.6461,3.4,17.3347,36.0
DMO,818,Immortal 2,Duelist,1.0793,4.0,27.1682,57.0
favs,nnnn,Radiant,Initiator,0.9142,6.6,31.5854,34.2
Carpy,Pog,Platinum 3,Flex,0.7831,4.2,13.9537,32.0
XT Pkm,1111,Immortal 3,Flex,0.8435,4.2,23.012,56.4
murmur,simi,Diamond 1,Initiator,0.7449,6.4,13.8953,43.8
HokeyPokey220,3144,Bronze 3,Duelist,1.0418,1.6,9.4824,5.2
noei,SMOKE,Immortal 3,Sentinel,1.7922,3.2,28.6966,34.6
nova,karen,Immortal 3,Duelist,0.7096,3.0,16.9862,39.4
Derek,dmo,Radiant,Duelist,0.7507,4.8,33.7565,42.6
yoffi,404,Diamond 1,Duelist,1.0832,5.4,11.3095,15.2
Lewynhart,uwu,Immortal 3,Initiator,0.8871,5.2,29.2129,54.2
link,604,Immortal 2,Flex,0.9619,8.0,22.1072,44.8
GenZ 488,GenZ,Gold 2,Flex,0.6667,2.8,3.8889,12.8
TSM FTX mle,olaf,Immortal 3,Initiator,0.8185,7.0,17.2324,52.8
vital,woo,Radiant,Flex,0.8872,3.4,22.2262,42.8
TSMFTX Precision,Colin,Radiant,Initiator,1.3091,5.2,22.1956,47.4
Star,mwah,Immortal 3,Duelist,0.5841,3.0,26.8571,50.8
Cruelty Darker,Licht,Immortal 2,Duelist,1.0143,2.6,31.8714,29.6
wntr,6tv,Radiant,Flex,1.4039,3.0,23.6316,37.4
DIG rain,1337,Immortal 2,Controller,1.5051,5.4,20.8973,38.0
ashleyy,not,Diamond 3,Duelist,1.5971,3.4,23.9459,31.6
BUGATTI PEEK,EU1,Immortal 2,Sentinel,1.046,2.6,29.1514,34.8
Sora,kiru,Immortal 3,Initiator,1.0185,6.4,20.5208,47.6
wellFried,0001,Radiant,Duelist,0.8024,3.6,11.3011,42.2
ion2x,2009,Radiant,Duelist,1.1389,5.2,26.6676,50.6
Hori,REAL,Radiant,Duelist,1.0724,1.0,8.6521,19.0
Agua,69420,Platinum 3,Duelist,0.8927,4.0,17.2049,48.8
Paranomia,Smile,Diamond 1,Flex,1.3167,4.4,9.4632,37.8
SWF Boug,cal,Immortal 3,Controller,1.4859,5.4,21.2938,26.0
w1sh,2006,Immortal 3,Duelist,0.8985,4.4,13.1255,26.2
voltageG,GOAT,Immortal 3,Sentinel,1.1881,2.4,22.781,40.2
ZEN KENNY,IGL,Immortal 3,Sentinel,1.1612,4.0,18.7689,34.8
DENJI,LFT,Diamond 3,Duelist,0.6264,2.2,22.4731,14.2
Thund3r,NA1,Immortal 3,Initiator,0.9539,7.0,19.9328,58.4
CANTFORGETTHEBEV,ababa,Gold 2,Controller,0.8594,5.6,20.2966,48.8
Casblood18,BLACK,Radiant,Duelist,0.8883,6.0,24.0054,56.0
Katakuri,Flexd,Immortal 3,Controller,0.6929,7.6,28.2157,49.0
frutta,1530,Immortal 3,Flex,0.93,7.6,19.8934,67.6
Samuel,WHT,Immortal 3,Flex,1.0746,5.6,31.499,58.0
jonn,1400,Platinum 3,Flex,1.272,2.6,6.2857,14.0
Wanheda,Rip,Diamond 3,Flex,1.464,5.0,9.2524,33.0
snirot,000,Immortal 3,Flex,1.1329,2.8,22.1525,49.4
Death On Mark,NA1,Diamond 3,Initiator,1.0302,7.6,5.8333,23.6
Byte,1000,Gold 1,Duelist,1.1357,4.2,11.1064,36.6
DonBigote,PAPI,Platinum 2,Controller,1.8453,2.6,14.3402,28.6
LightzOut,las,Immortal 3,Flex,1.0147,5.0,23.3621,39.4
HCE nixx,5393,Radiant,Flex,0.8688,5.4,15.3571,29.8
UL Tαςσ,taco,Radiant,Initiator,1.1962,4.8,22.0624,46.4
PRIT,1111,Diamond 3,Duelist,0.9406,3.2,23.0281,30.6
eigne,1111,Immortal 3,Flex,1.003,6.6,31.3976,40.4
HOPE,1140,Immortal 3,Flex,0.7732,6.4,23.3691,57.8
V1 effys,LBE,Immortal 3,Initiator,1.1981,5.2,14.8417,36.0
merami,same,Immortal 3,Flex,1.7366,3.2,10.7692,3.6
lyric6l,fps,Diamond 3,Flex,1.1295,3.6,18.8864,38.4
vora,zzz,Radiant,Initiator,0.9368,9.0,24.0741,58.8
potro,5402,Immortal 3,Duelist,0.6602,5.8,15.4846,55.2
Youtube Wishyy,7709,Silver 1,Duelist,2.6119,3.0,20.9066,39.0
SaggyWaffless,3051,Silver 2,Flex,1.6295,3.0,8.6601,10.0
unlucky,ld153,Platinum 3,Flex,0.7173,5.0,10.9231,23.6
SUPERCAT14392786,MEOW,Immortal 3,Sentinel,1.2685,3.8,18.6816,34.6
StarBound,idk,Radiant,Sentinel,1.688,2.6,14.6576,32.8
royalG,CSGO,Immortal 3,Duelist,1.7648,5.6,6.536,13.8
jmoh,lala,Immortal 3,Duelist,1.2409,4.2,24.4733,36.8
taemint,vane,Gold 3,Flex,0.854,6.8,17.0901,49.8
Twitch JaBaitedd,7062,Diamond 2,Flex,1.4589,5.0,0.0,0.0
SamZera,jones,Diamond 3,Initiator,1.2524,4.2,20.1691,32.0
L0GAN,4262,Silver 3,Flex,0.8141,3.8,8.4615,15.4
Indosamo,2292,Silver 3,Flex,1.1025,4.2,7.8571,24.2
kaboose ORMEN,w0w,Immortal 1,Duelist,0.9147,4.0,22.6308,41.0
Vexii,Bruh,Radiant,Controller,0.8442,7.6,23.5424,50.8
Cainzera,604,Radiant,Flex,2.289,4.6,0.0,0.0
StinkingWind,0860,Platinum 2,Flex,0.9267,4.4,5.4146,19.8
Cracien,Chika,Immortal 3,Sentinel,1.4857,3.6,25.5261,41.0
Symbiotic,AKT,Immortal 3,Controller,1.1825,6.6,33.4243,57.4
zebroe,420,Radiant,Flex,0.9791,5.8,34.2993,64.6
Tairany,000,Immortal 3,Duelist,1.8333,3.6,0.0,0.0
Bubbas,bubba,Diamond 3,Flex,1.0708,6.0,15.352,56.0
TakiFingers,3333,Immortal 3,Duelist,0.9665,2.8,27.987,57.8
point god,dimes,Immortal 3,Duelist,0.9726,5.2,37.6579,45.8
tsai,000,Immortal 3,Controller,1.339,5.0,11.4286,23.0
fytts,mari,Immortal 3,Flex,0.9434,1.8,11.0985,17.8
jollibee,001,Gold 1,Duelist,1.1409,5.8,0.0,0.0
HukeBaby,LULW,Bronze 3,Duelist,0.802,4.2,0.0,0.0
Dubz,scar,Radiant,Controller,0.9693,4.8,16.9374,33.0
Politte,5705,Gold 3,Flex,1.1576,5.6,2.2989,8.6
Fruit,oof,Gold 2,Controller,0.7902,4.0,4.8124,14.6
Dill,fku,Immortal 3,Flex,0.8402,3.8,23.3057,45.6
Mtndewsipper,4826,Bronze 3,Flex,0.7987,3.2,9.1314,41.4
OXG Virtyy,445,Radiant,Initiator,1.159,5.4,38.2457,48.0
GHOST NisKo,LEB,Immortal 3,Initiator,1.6495,6.4,29.3595,48.4
FS Torrify シ,Vamos,Immortal 3,Sentinel,2.0131,3.4,27.2096,35.6
renz,77777,Radiant,Flex,1.255,6.8,33.5835,63.0
cookiecolaa,ttv,Silver 1,Flex,2.1875,4.8,11.7487,68.8
ASP 8ecause,smile,Radiant,Flex,1.2964,2.8,29.0427,52.6
LightzOut,las,Immortal 3,Flex,0.9323,5.2,22.8699,37.6
renai,ily,Immortal 3,Flex,0.9842,5.8,20.115,52.0
Rizzi,999,Diamond 3,Flex,1.7664,4.8,0.0,0.0
Truth,msngr,Radiant,Duelist,0.9788,5.0,23.2402,45.0
l4cer,3006,Radiant,Duelist,0.8093,2.6,19.8951,29.6
Reks,8836,Immortal 3,Flex,1.1073,8.4,14.3035,56.0
Astro,A74,Silver 3,Flex,0.5547,4.0,7.5806,8.2
